পর্ব ১: সমান্তর ধারা (Arithmetic Progression - AP) বেসিক
১. সমান্তর ধারার n-তম পদের সূত্র কোনটি? ক. a + (n-1)d খ. a + nd গ. a + (n+1)d ঘ. arⁿ⁻¹ | উত্তর: ক | ব্যাখ্যা: সমান্তর ধারায় যেকোনো পদ নির্ণয়ের মূল সূত্র a + (n-1)d, যেখানে a=প্রথম পদ, d=সাধারণ অন্তর।
৮২. ২, ৪, ৮, ১৬... ধারাটির ১০ম পদ কত? ক. ৫১২ খ. ১০২৪ গ. ২০৪৮ ঘ. ৪০৯৬ | উত্তর: খ | ব্যাখ্যা: a=২, r=২। ১০ম পদ = ২ × ২⁹ = ২¹⁰ = ১০২৪।


৮৩. ৩, ৯, ২৭... ধারাটির ৭ম পদ কত? ক. ৭২৯ খ. ২১৮৭ গ. ৬৫৬১ ঘ. ১৯৬৮৩ | উত্তর: খ | ব্যাখ্যা: a=৩, r=৩। ৭ম পদ = ৩ × ৩⁶ = ৩⁷ = ২১৮৭।


৮৪. ৬৪, ৩২, ১৬... ধারাটির ৮ম পদ কত? ক. ১ খ. ১/২ গ. ১/৪ ঘ. ১/৮ | উত্তর: খ | ব্যাখ্যা: a=৬৪, r=১/২। ৮ম পদ = ৬৪ × (১/২)⁷ = ৬৪ × ১/১২৮ = ১/২।


৮৫. ৫, -১০, ২০, -৪০... ধারাটির ৭ম পদ কত? ক. ৩২০ খ. -৩২০ গ. ৬৪০ ঘ. -৬৪০ | উত্তর: ক | ব্যাখ্যা: a=৫, r= -২। ৭ম পদ = ৫ × (-২)⁶ = ৫ × ৬৪ = ৩২০।


৮৬. একটি গুণোত্তর ধারার ১ম পদ ২ এবং সাধারণ অনুপাত ৩ হলে, ধারাটির ৪র্থ পদ কত? ক. ১৮ খ. ২৪ গ. ৩৬ ঘ. ৫৪ | উত্তর: ঘ | ব্যাখ্যা: ৪র্থ পদ = a × r³ = ২ × ৩³ = ২ × ২৭ = ৫৪।


৮৭. কোনো গুণোত্তর ধারার ৩য় পদ ১২ এবং ৬ষ্ঠ পদ ৯৬ হলে, সাধারণ অনুপাত কত? ক. ২ খ. ৩ গ. ৪ ঘ. ৮ | উত্তর: ক | ব্যাখ্যা: ar⁵ / ar² = ৯৬ / ১২ ⇒ r³ = ৮ ⇒ r = ২।


৮৮. একটি গুণোত্তর ধারার ২য় পদ ৬ এবং ৫ম পদ ১৬২ হলে, ১ম পদ কত? ক. ১ খ. ২ গ. ৩ ঘ. ৪ | উত্তর: খ | ব্যাখ্যা: ar⁴ / ar = ১৬২ / ৬ ⇒ r³ = ২৭ ⇒ r=৩। ২য় পদ ar = ৬ ⇒ a×৩ = ৬ ⇒ a = ২।


৮৯. ২, -৪, ৮, -১৬... ধারার সাধারণ অনুপাত কত? ক. ২ খ. -২ গ. ১/২ ঘ. -১/২ | উত্তর: খ | ব্যাখ্যা: সাধারণ অনুপাত r = ২য় পদ / ১ম পদ = -৪ / ২ = -২।


৯০. কোনো ধারার n-তম পদ 2ⁿ⁻¹ হলে ধারাটি কী? ক. সমান্তর খ. গুণোত্তর গ. ফিবোনাচ্চি ঘ. কোনোটিই নয় | উত্তর: খ | ব্যাখ্যা: পদগুলো: ১, ২, ৪, ৮... যা গুণোত্তর ধারা।


৯১. ১/২, ১/৪, ১/৮... ধারার কততম পদ ১/৫১২? ক. ৭ খ. ৮ গ. ৯ ঘ. ১০ | উত্তর: গ | ব্যাখ্যা: (১/২) × (১/২)ⁿ⁻¹ = ১/৫১২ ⇒ (১/২)ⁿ = (১/২)⁹ ⇒ n = ৯।


৯২. ৩, x, ২৭ গুণোত্তর ধারায় থাকলে x এর মান কত? ক. ৬ খ. ৯ গ. ১২ ঘ. ১৫ | উত্তর: খ | ব্যাখ্যা: গুণোত্তর ধারায় মাঝের পদের বর্গ দুই প্রান্তের গুণফলের সমান। x² = ৩×২৭ = ৮১ ⇒ x = ৯।


৯৩. a, b, c গুণোত্তর ধারায় থাকলে কোনটি সঠিক? ক. b = a+c খ. 2b = a+c গ. b² = ac ঘ. c² = ab | উত্তর: গ | ব্যাখ্যা: b/a = c/b ⇒ b² = ac।


৯৪. ১, √৩, ৩... ধারার সাধারণ অনুপাত কত? ক. ১ খ. ৩ গ. √৩ ঘ. ১/√৩ | উত্তর: গ | ব্যাখ্যা: r = √৩ / ১ = √৩।


৯৫. ১, √৩, ৩... ধারার ৬ষ্ঠ পদ কত? ক. ৯ খ. ৯√৩ গ. ২৭ ঘ. ২৭√৩ | উত্তর: খ | ব্যাখ্যা: ৬ষ্ঠ পদ = ১ × (√৩)⁵ = ৯√৩।


৯৫. ৫, ২৫, ১২৫... ধারার কততম পদ ৩১২৫? ক. ৪ খ. ৫ গ. ৬ ঘ. ৭ | উত্তর: খ | ব্যাখ্যা: ৫ × ৫ⁿ⁻¹ = ৩১২৫ ⇒ ৫ⁿ = ৫⁵ ⇒ n = ৫।


৯৭. কোনো গুণোত্তর ধারার ১ম পদ a এবং সাধারণ অনুপাত r হলে, পদগুলো কী কী? ক. a, a+r, a+2r... খ. a, ar, ar²... গ. a, a/r, a/r²... ঘ. r, ar, a²r... | উত্তর: খ | ব্যাখ্যা: গুণোত্তর ধারার সাধারণ রূপ: a, ar, ar², ar³...


৯৮. ২, ৬, ১৮... ধারার ৭ম পদ কত? ক. ৪৩২ খ. ৯৭২ গ. ১৪৫৮ ঘ. ২৯১৬ | উত্তর: গ | ব্যাখ্যা: a=২, r=৩। ৭ম পদ = ২ × ৩⁶ = ২ × ৭২৯ = ১৪৫৮।


৯৯. √২, ২, ২√২... ধারার ৮ম পদ কত? ক. ৮ খ. ৮√২ গ. ১৬ ঘ. ১৬√২ | উত্তর: গ | ব্যাখ্যা: a=√২, r=√২। ৮ম পদ = √২ × (√২)⁷ = (√২)⁸ = ১৬।


১০০. ৪, -৮, ১৬, -৩২... ধারার সাধারণ অনুপাত কত? ক. ২ খ. -২ গ. ১/২ ঘ. -১/২ | উত্তর: খ | ব্যাখ্যা: -৮/৪ = -২।
১০১. একটি গুণোত্তর ধারার ৫ম পদ ২√৩ এবং সাধারণ অনুপাত √৩ হলে ৪র্থ পদ কত? ক. ১ খ. ২ গ. ৩ ঘ. ৪ | উত্তর: খ | ব্যাখ্যা: ৫ম পদ = ৪র্থ পদ × r। ২√৩ = ৪র্থ পদ × √৩ ⇒ ৪র্থ পদ = ২।


১০২. গুণোত্তর ধারার ৪টি পদের গুণফল ৬৪ হলে ২য় ও ৩য় পদের গুণফল কত? ক. ৪ খ. ৮ গ. ১৬ ঘ. ৩২ | উত্তর: খ | ব্যাখ্যা: পদগুলো a/r³, a/r, ar, ar³। গুণফল a⁴ = ৬৪। ২য় ও ৩য় পদের গুণফল a/r × ar = a²। a⁴=৬৪ হলে a²=৮।


১০৩. গুণোত্তর ধারার ৩টি পদের গুণফল ২১৬ হলে মাঝের পদটি কত? ক. ৪ খ. ৬ গ. ৮ ঘ. ৯ | উত্তর: খ | ব্যাখ্যা: পদগুলো a/r, a, ar ধরলে গুণফল a³ = ২১৬ ⇒ a = ৬।


১০৪. ১/৩, -১, ৩... ধারার সাধারণ অনুপাত কত? ক. ৩ খ. -৩ গ. ১/৩ ঘ. -১/৩ | উত্তর: খ | ব্যাখ্যা: -১ / (১/৩) = -৩।


১০৫. ১/৩, -১, ৩... ধারার ৭ম পদ কত? ক. ২৪৩ খ. -২৪৩ গ. ৭২৯ ঘ. -৭২৯ | উত্তর: ক | ব্যাখ্যা: a=১/৩, r=-৩। ৭ম পদ = ১/৩ × (-৩)⁶ = ১/৩ × ৭২৯ = ২৪৩।


১০৬. ০.১, ০.০১, ০.০০১... ধারাটি কী ধরনের? ক. সমান্তর খ. গুণোত্তর গ. ফিবোনাচ্চি ঘ. ধ্রুবক | উত্তর: খ | ব্যাখ্যা: প্রতিবার ১০ দিয়ে ভাগ করা হচ্ছে (r = ০.১)। তাই এটি গুণোত্তর ধারা।


১০৭. কোনো গুণোত্তর ধারার সাধারণ অনুপাত ১ এর চেয়ে বড় হলে, ধারাটি কেমন হবে? ক. ক্রমবর্ধমান (Increasing) খ. ক্রমহ্রাসমান গ. ধ্রুবক ঘ. ঋণাত্মক | উত্তর: ক | ব্যাখ্যা: r > 1 হলে পদের মান ক্রমাগত বাড়তে থাকে (যেমন ২, ৪, ৮...)।


১০৮. গুণোত্তর ধারার সাধারণ অনুপাত ১ হলে, ধারাটি কেমন হবে? ক. ক্রমবর্ধমান খ. ক্রমহ্রাসমান গ. সমান্তর ও গুণোত্তর উভয়ই ঘ. অসীম | উত্তর: গ | ব্যাখ্যা: r=1 হলে ধারাটি ৫, ৫, ৫... হবে। এর সাধারণ অন্তর 0, তাই এটি সমান্তরও বটে।


১০৯. কোনো ধারার ২য় পদ ৩ এবং ৩য় পদ ৪.৫ হলে, ১ম পদ কত (যদি গুণোত্তর হয়)? ক. ১ খ. ১.৫ গ. ২ ঘ. ২.৫ | উত্তর: গ | ব্যাখ্যা: r = ৪.৫/৩ = ১.৫। ১ম পদ = ২য় পদ / r = ৩ / ১.৫ = ২।


১১০. p, q, r গুণোত্তর ধারায় থাকলে q কে কী বলা হয়? ক. সমান্তর মধ্যক খ. গুণোত্তর মধ্যক গ. গাণিতিক গড় ঘ. ভাজক | উত্তর: খ | ব্যাখ্যা: মাঝের পদটিকে Geometric Mean বা গুণোত্তর মধ্যক বলে।


১১১. ১৬ এবং ৪ এর গুণোত্তর মধ্যক (Geometric Mean) কত? ক. ৮ খ. ১০ গ. ১২ ঘ. ৬৪ | উত্তর: ক | ব্যাখ্যা: GM = √(ab) = √(১৬×৪) = √৬৪ = ৮।


১১২. ২ এবং ১৮ এর গুণোত্তর মধ্যক কত? ক. ৬ খ. ৮ গ. ৯ ঘ. ১০ | উত্তর: ক | ব্যাখ্যা: GM = √(২×১৮) = √৩৬ = ৬।


১১৩. ৯ এবং ২৫ এর গুণোত্তর মধ্যক কত? ক. ১২ খ. ১৫ গ. ১৭ ঘ. ২০ | উত্তর: খ | ব্যাখ্যা: GM = √(৯×২৫) = √২২৫ = ১৫।


১১৪. একটি গুণোত্তর ধারার ১ম পদ ৩, সাধারণ অনুপাত ২ হলে, প্রথম ৩টি পদের যোগফল কত? ক. ২১ খ. ২২ গ. ২৩ ঘ. ২৪ | উত্তর: ক | ব্যাখ্যা: পদগুলো ৩, ৬, ১২। যোগফল ২১।


১১৫. ৫, x, y, ৪০ গুণোত্তর ধারায় থাকলে x এবং y এর মান কত? ক. ১০, ২০ খ. ১৫, ২৫ গ. ৮, ১৬ ঘ. ১২, ২৪ | উত্তর: ক | ব্যাখ্যা: ৪০ হলো ৪র্থ পদ। ar³ = ৪০ ⇒ ৫r³ = ৪০ ⇒ r³=৮ ⇒ r=২। x=৫×২=১০, y=১০×২=২০।


১১৬. x, xy, xy²... ধারার সাধারণ অনুপাত কত? ক. x খ. y গ. xy ঘ. x/y | উত্তর: খ | ব্যাখ্যা: ২য় পদ / ১ম পদ = xy / x = y।


১১৭. x, x², x³... ধারার n-তম পদ কোনটি? ক. xⁿ⁻¹ খ. xⁿ গ. nx ঘ. xⁿ⁺¹ | উত্তর: খ | ব্যাখ্যা: ১ম পদ x¹, ২য় পদ x²। তাই n-তম পদ xⁿ।


১১৮. log2, log4, log8... ধারাটি কী ধরনের ধারা? ক. সমান্তর খ. গুণোত্তর গ. ফিবোনাচ্চি ঘ. কোনোটিই নয় | উত্তর: ক | ব্যাখ্যা: log2, 2log2, 3log2... সাধারণ অন্তর log2। তাই এটি সমান্তর ধারা। (খুবই গুরুত্বপূর্ণ ট্র্যাপ)।


১১৯. x, x², x³ গুণোত্তর ধারায় আছে। এদের গুণফল ৬৪ হলে x এর মান কত? ক. ২ খ. ৪ গ. ৮ ঘ. ১৬ | উত্তর: ক | ব্যাখ্যা: x × x² × x³ = x⁶ = ৬৪। ২⁶ = ৬৪, তাই x = ২।


১২০. ১/২, -১/৪, ১/৮... ধারার সাধারণ অনুপাত কত? ক. ২ খ. -২ গ. ১/২ ঘ. -১/২ | উত্তর: ঘ | ব্যাখ্যা: (-১/৪) / (১/২) = -১/২।
পর্ব ৪: গুণোত্তর ধারার সমষ্টি ও অসীম ধারা (GP Sum & Infinite Series)
১২১. গুণোত্তর ধারায় r > 1 হলে n পদের সমষ্টির সূত্র কী? ক. a(1-rⁿ)/(1-r) খ. a(rⁿ-1)/(r-1) গ. a/(1-r) ঘ. na | উত্তর: খ | ব্যাখ্যা: r > 1 হলে হর ধনাত্মক রাখার জন্য r-1 ব্যবহৃত হয়।


১২২. গুণোত্তর ধারায় r < 1 হলে n পদের সমষ্টির সূত্র কী? ক. a(1-rⁿ)/(1-r) খ. a(rⁿ-1)/(r-1) গ. a/(r-1) ঘ. a/(1+r) | উত্তর: ক | ব্যাখ্যা: r < 1 হলে 1-r ব্যবহৃত হয়।


১২৩. ২ + ৪ + ৮ + ... ধারার প্রথম ১০ পদের সমষ্টি কত? ক. ১০২৪ খ. ১০৪৬ গ. ২০৪৬ ঘ. ২০৪৮ | উত্তর: গ | ব্যাখ্যা: a=২, r=২। S₁₀ = ২(২¹⁰ - ১)/(২ - ১) = ২(১০২৪ - ১) = ২ × ১০২৩ = ২০৪৬।


১২৪. ১ + ৩ + ৯ + ... ধারার প্রথম ৬ পদের সমষ্টি কত? ক. ৩৬৪ খ. ৭২৮ গ. ১০৯২ ঘ. ৩১৪ | উত্তর: ক | ব্যাখ্যা: a=১, r=৩। S₆ = ১(৩⁶ - ১)/(৩ - ১) = (৭২৯ - ১)/২ = ৭২৮/২ = ৩৬৪।


১২৫. ১ - ১ + ১ - ১ ... ধারার প্রথম ১০০ পদের সমষ্টি কত? ক. 0 খ. 1 গ. -1 ঘ. 100 | উত্তর: ক | ব্যাখ্যা: জোড় সংখ্যক পদের সমষ্টি সবসময় 0 হয়।


১২৬. ১ - ১ + ১ - ১ ... ধারার প্রথম ৯৯ পদের সমষ্টি কত? ক. 0 খ. 1 গ. -1 ঘ. 99 | উত্তর: খ | ব্যাখ্যা: বিজোড় সংখ্যক পদের ক্ষেত্রে শেষ পদটি +১ থেকে যায়, তাই সমষ্টি 1।
১২৭. ১ + ২ + ৪ + ৮ + ... ধারার প্রথম কতটি পদের সমষ্টি ২৫৫ হবে? ক. ৬ খ. ৭ গ. ৮ ঘ. ৯ | উত্তর: গ | ব্যাখ্যা: ১(২ⁿ - ১)/(২-১) = ২৫৫ ⇒ ২ⁿ - ১ = ২৫৫ ⇒ ২ⁿ = ২৫৬ ⇒ ২ⁿ = ২⁸ ⇒ n = ৮।
১২৭. ১ + ২ + ৪ + ৮ + ... ধারার প্রথম কতটি পদের সমষ্টি ২৫৫ হবে? ক. ৬ খ. ৭ গ. ৮ ঘ. ৯ | উত্তর: গ | ব্যাখ্যা: ১(২^n - ১)/(২-১) = ২৫৫ ⇒ ২^n - ১ = ২৫৫ ⇒ ২^n = ২৫৬ ⇒ ২^n = ২⁸ ⇒ n = ৮।


১২৮. ৬৪ + ৩২ + ১৬ + ... ধারার প্রথম ৬ পদের সমষ্টি কত? ক. ১২৬ খ. ১২৮ গ. ১৩০ ঘ. ৬৩ | উত্তর: ক | ব্যাখ্যা: a=৬৪, r=১/২। S₆ = ৬৪(১ - (১/২)⁶) / (১ - ১/২) = ৬৪(১ - ১/৬৪) / (১/২) = ১২৮ × ৬৩/৬৪ = ১২৬।


১২৯. কোনো গুণোত্তর ধারার অসীম পদের সমষ্টির (Sum to infinity) সূত্র কী? ক. a/(r-1) খ. a/(1-r) গ. a(1-r) ঘ. a/r | উত্তর: খ | ব্যাখ্যা: অসীম সমষ্টি S∞ = a / (1-r)।


১৩০. অসীম গুণোত্তর ধারার সমষ্টি থাকার শর্ত কী? ক. r > 1 খ. r < 1 গ. |r| < 1 ঘ. |r| > 1 | উত্তর: গ | ব্যাখ্যা: সাধারণ অনুপাত -1 থেকে 1 এর মধ্যে (অর্থাৎ |r| < 1) হলে কেবল অসীম সমষ্টি পাওয়া যায়।


১৩১. ১ + ১/২ + ১/৪ + ... অসীম ধারার সমষ্টি কত? ক. ১ খ. ১.৫ গ. ২ ঘ. ২.৫ | উত্তর: গ | ব্যাখ্যা: a=১, r=১/২। S = ১ / (১ - ১/২) = ১ / (১/২) = ২।


১৩২. ৩ + ১ + ১/৩ + ... অসীম ধারার সমষ্টি কত? ক. ৪ খ. ৪.৫ গ. ৯/২ ঘ. ৯ | উত্তর: খ | ব্যাখ্যা: a=৩, r=১/৩। S = ৩ / (১ - ১/৩) = ৩ / (২/৩) = ৯/২ = ৪.৫।


১৩৩. ১/৩ + ১/৯ + ১/২৭ + ... অসীম ধারার সমষ্টি কত? ক. ১/২ খ. ১ গ. ৩/২ ঘ. ২ | উত্তর: ক | ব্যাখ্যা: a=১/৩, r=১/৩। S = (১/৩) / (১ - ১/৩) = (১/৩) / (২/৩) = ১/২।


১৩৪. ০.৩ + ০.০৩ + ০.০০৩ + ... অসীম ধারার সমষ্টি কত? ক. ১/২ খ. ১/৩ গ. ১ ঘ. ৩ | উত্তর: খ | ব্যাখ্যা: এটি ০.৩৩৩... যার মান ১/৩। সূত্র দিয়ে: a=০.৩, r=০.১। S = ০.৩ / (১ - ০.১) = ০.৩ / ০.৯ = ১/৩।


১৩৫. ২ - ১ + ১/২ - ১/৪ + ... অসীম ধারার সমষ্টি কত? ক. ১ খ. ৪/৩ গ. ৩/২ ঘ. ২ | উত্তর: খ | ব্যাখ্যা: a=২, r= -১/২। S = ২ / (১ - (-১/২)) = ২ / (৩/২) = ৪/৩।


১৩৬. ৫ + ৫/৩ + ৫/৯ + ... অসীম ধারার সমষ্টি কত? ক. ৫.৫ খ. ৭.৫ গ. ১০ ঘ. ১৫ | উত্তর: খ | ব্যাখ্যা: a=৫, r=১/৩। S = ৫ / (১ - ১/৩) = ৫ / (২/৩) = ১৫/২ = ৭.৫।


১৩৭. ১ - ১/৩ + ১/৯ - ১/২৭ + ... অসীম ধারার সমষ্টি কত? ক. ১/২ খ. ৩/৪ গ. ৪/৩ ঘ. ২/৩ | উত্তর: খ | ব্যাখ্যা: a=১, r= -১/৩। S = ১ / (১ - (-১/৩)) = ১ / (৪/৩) = ৩/৪।


১৩৮. একটি অসীম গুণোত্তর ধারার সমষ্টি ৩ এবং সাধারণ অনুপাত ১/২ হলে, ১ম পদ কত? ক. ১ খ. ১.৫ গ. ২ ঘ. ২.৫ | উত্তর: খ | ব্যাখ্যা: S = a/(1-r) ⇒ ৩ = a / (১ - ১/২) ⇒ ৩ = a / (১/২) ⇒ a = ৩ × ১/২ = ১.৫।


১৩৯. একটি অসীম গুণোত্তর ধারার ১ম পদ ৫ এবং সমষ্টি ২৫/৪ হলে, সাধারণ অনুপাত কত? ক. ১/২ খ. ১/৪ গ. ১/৫ ঘ. ৪/৫ | উত্তর: গ | ব্যাখ্যা: ২৫/৪ = ৫ / (১-r) ⇒ ১-r = ২০/২৫ = ৪/৫ ⇒ r = ১ - ৪/৫ = ১/৫।


১৪০. ২ + ৪ + ৮ + ... অসীম ধারার সমষ্টি কত? ক. ০ খ. ১৬ গ. ৩২ ঘ. অসংজ্ঞায়িত (Infinity) | উত্তর: ঘ | ব্যাখ্যা: এখানে r = ২, যা ১ এর চেয়ে বড়। তাই অসীম সমষ্টি অসংজ্ঞায়িত (অসীম)।


১৪১. একটি রাবার বল ২০ মিটার উঁচু থেকে ফেলা হলো। প্রতিবার বলটি আগের উচ্চতার অর্ধেক উচ্চতায় লাফিয়ে ওঠে। বলটি থামার আগে মোট কত দূরত্ব অতিক্রম করবে? ক. ৪০ খ. ৫০ গ. ৬০ ঘ. ৮০ | উত্তর: গ | ব্যাখ্যা: নিচে পড়ে ২০। লাফায় ১০, পড়ে ১০। লাফায় ৫, পড়ে ৫। মোট দূরত্ব = ২০ + ২(১০ + ৫ + ...)। ভেতরের অংশ অসীম ধারা: a=১০, r=০.৫। S = ১০/(১-০.৫) = ২০। মোট = ২০ + ২(২০) = ৬০ মিটার। (শর্টকাট: H(1+r)/(1-r) = 20(1+0.5)/(1-0.5) = 20(1.5/0.5) = 60)।


১৪২. একটি বল ১০ মিটার থেকে ফেলা হলো, প্রতিবার ২/৩ অংশ লাফায়। মোট দূরত্ব কত? ক. ৩০ খ. ৪০ গ. ৫০ ঘ. ৬০ | উত্তর: গ | ব্যাখ্যা: শর্টকাট সূত্র: Total Distance = H(1+r)/(1-r) = ১০(১ + ২/৩) / (১ - ২/৩) = ১০(৫/৩) / (১/৩) = ৫০ মিটার।


১৪৩. ০.৪৫৪৫৪৫... কে ভগ্নাংশে প্রকাশ করলে কত হয়? ক. ৪৫/৯৯ খ. ৫/১১ গ. ক ও খ উভয়ই ঘ. ৪৫/১০০ | উত্তর: গ | ব্যাখ্যা: অসীম ধারা দিয়ে: a=০.৪৫, r=০.০১। S = ০.৪৫/০.৯৯ = ৪৫/৯৯ = ৫/১১।
১৪৪. ১ + ২ + ৪ + ... ধারার n পদের সমষ্টি ১০২৩ হলে n এর মান কত? ক. ৯ খ. ১০ গ. ১১ ঘ. ১২ | উত্তর: খ | ব্যাখ্যা: ২ⁿ - ১ = ১০২৩ ⇒ ২ⁿ = ১০২৪ ⇒ n = ১০।
১৪৪. ১ + ২ + ৪ + ... ধারার n পদের সমষ্টি ১০২৩ হলে n এর মান কত? ক. ৯ খ. ১০ গ. ১১ ঘ. ১২ | উত্তর: খ | ব্যাখ্যা: ২^n - ১ = ১০২৩ ⇒ ২^n = ১০২৪ ⇒ n = ১০।


১৪৫. ৮ + ৪ + ২ + ... ধারার অসীম সমষ্টি কত? ক. ১৪ খ. ১৫ গ. ১৬ ঘ. ৩২ | উত্তর: গ | ব্যাখ্যা: a=৮, r=১/২। S = ৮/(১ - ১/২) = ১৬।


১৪৬. ৩ + ৬ + ১২ + ... ধারার ১ম ৮ পদের সমষ্টি কত? ক. ২৫৫ খ. ৭৬৫ গ. ১৫৩০ ঘ. ৩০৬০ | উত্তর: খ | ব্যাখ্যা: ৩(২⁸ - ১) / (২-১) = ৩(২৫৬-১) = ৩ × ২৫৫ = ৭৬৫।


১৪৭. a, ar, ar²... ধারার অসীম পদের সমষ্টি S হলে এবং r এর মান ঋণাত্মক হলে ধারাটি কেমন হবে? ক. ক্রমবর্ধমান খ. ক্রমহ্রাসমান গ. দোদুল্যমান (Oscillating) ঘ. সমান্তর | উত্তর: গ | ব্যাখ্যা: r ঋণাত্মক হলে পদগুলো পর্যায়ক্রমে ধনাত্মক ও ঋণাত্মক হয়, একে Oscillating series বলে।


১৪৮. গুণোত্তর ধারার ১ম পদ ২ এবং ২য় পদ -৪ হলে, অসীম সমষ্টি কত? ক. ২/৩ খ. -২/৩ গ. অসংজ্ঞায়িত ঘ. 0 | উত্তর: গ | ব্যাখ্যা: r = -২। যেহেতু |r| > 1, অসীম সমষ্টি অসংজ্ঞায়িত।


১৪৯. অসীম গুণোত্তর ধারার সমষ্টির অস্তিত্ব থাকবে যদি— ক. r=1 খ. r>1 গ. -1<r<1 ঘ. r<-1 | উত্তর: গ | ব্যাখ্যা: অনুপাত অবশ্যই -1 থেকে 1 এর মধ্যে হতে হবে।


১৫০. x এর মান কত হলে 1 + x + x² + ... অসীম ধারার সমষ্টি সসীম হবে? ক. x=2 খ. x=-2 গ. x=1 ঘ. -1 < x < 1 | উত্তর: ঘ | ব্যাখ্যা: এটি অসীম সমষ্টির শর্ত |r| < 1 বা -1 < x < 1।


১৫১. 1 + 1/x + 1/x² + ... ধারার অসীম সমষ্টি থাকতে x এর শর্ত কী? ক. |x| < 1 খ. |x| > 1 গ. x=0 ঘ. x=1 | উত্তর: খ | ব্যাখ্যা: r = 1/x। শর্ত |1/x| < 1 ⇒ 1 < |x| অর্থাৎ |x| > 1।


১৫২. x=2 হলে 1 + 1/x + 1/x² + ... অসীম ধারার সমষ্টি কত? ক. 1 খ. 1.5 গ. 2 ঘ. 3 | উত্তর: গ | ব্যাখ্যা: ধারাটি 1 + 1/2 + 1/4... যার সমষ্টি 2।


১৫৩. ০.৭৭৭... এর মান কত? ক. ৭/১০ খ. ৭/৯ গ. ৭৭/১০০ ঘ. ৭৭/৯৯ | উত্তর: খ | ব্যাখ্যা: a=০.৭, r=০.১। S = ০.৭/(১-০.১) = ০.৭/০.৯ = ৭/৯।


১৫৪. ৩, -৩, ৩, -৩... ধারার ১ম ১০১ পদের সমষ্টি কত? ক. 0 খ. 1 গ. 3 ঘ. -3 | উত্তর: গ | ব্যাখ্যা: ১ম ২ পদের সমষ্টি 0। ১০০ পদের 0। ১০১তম পদটি ৩, তাই সমষ্টি ৩।


১৫৫. কোন শর্তে a + ar + ar² + ... = a/(1-r) হয়? ক. r > 0 খ. r < 0 গ. |r| < 1 ঘ. r = 1 | উত্তর: গ | ব্যাখ্যা: এটি অসীম গুণোত্তর ধারার সমষ্টির শর্ত।


১৫৬. ১/৪, ১/১৬, ১/৬৪... ধারার অসীম সমষ্টি কত? ক. ১/২ খ. ১/৩ গ. ১/৪ ঘ. ১ | উত্তর: খ | ব্যাখ্যা: a=১/৪, r=১/৪। S = (১/৪) / (১ - ১/৪) = (১/৪) / (৩/৪) = ১/৩।


১৫৭. ১০, ৫, ২.৫... অসীম ধারার সমষ্টি কত? ক. ১৫ খ. ১৭.৫ গ. ২০ ঘ. ২৫ | উত্তর: গ | ব্যাখ্যা: a=১০, r=১/২। S = ১০ / (১ - ১/২) = ২০।


১৫৮. a + b + c + ... গুণোত্তর ধারায় থাকলে a, b, c এর সম্পর্ক কী? ক. 2b = a+c খ. b² = ac গ. c² = ab ঘ. a² = bc | উত্তর: খ | ব্যাখ্যা: এটি গুণোত্তর ধারার মৌলিক শর্ত।
১৫৯. 1 + 2 + 4 + 8 + ... ধারার কোন পদ ৫১২? ক. ৮ম খ. ৯ম গ. ১০ম ঘ. ১১তম | উত্তর: গ | ব্যাখ্যা: 1 × 2ⁿ⁻¹ = 512 = 2⁹ ⇒ n-1 = 9 ⇒ n = 10 (১০ম পদ)।
১৫৯. 1 + 2 + 4 + 8 + ... ধারার কোন পদ ৫১২? ক. ৮ম খ. ৯ম গ. ১০ম ঘ. ১১তম | উত্তর: খ | ব্যাখ্যা: 1 × 2^(n-1) = 512 = 2⁹। n-1 = 9 ⇒ n = 10. (সংশোধন: 2⁹=512, তাই ১০ম পদ)। উত্তর: ১০ম (গ)।
১৬০. ৫, ১০, ২০... ধারার ১ম কতটি পদের সমষ্টি ৩১৫? ক. ৪ খ. ৫ গ. ৬ ঘ. ৭ | উত্তর: গ | ব্যাখ্যা: ৫(২ⁿ - ১)/(২-১) = ৩১৫ ⇒ ২ⁿ - ১ = ৬৩ ⇒ ২ⁿ = ৬৪ = ২⁶ ⇒ n=৬।
১৬০. ৫, ১০, ২০... ধারার ১ম কতটি পদের সমষ্টি ৩১৫? ক. ৪ খ. ৫ গ. ৬ ঘ. ৭ | উত্তর: গ | ব্যাখ্যা: ৫(২^n - ১)/(২-১) = ৩১৫ ⇒ ২^n - ১ = ৬৩ ⇒ ২^n = ৬৪ = ২⁶ ⇒ n=৬।
পর্ব ৫: বিশেষ ধারা, গাণিতিক/গুণোত্তর মধ্যক ও অ্যাডভান্সড (Special Series, Means & Mixed)
১৬১. ১² + ২² + ৩² + ... + ১০² = কত? ক. ২৮৫ খ. ৩৮৫ গ. ৪০৫ ঘ. ৩৮০ | উত্তর: খ | ব্যাখ্যা: বর্গের সমষ্টি = n(n+1)(2n+1)/6 = ১০×১১×২১/৬ = ৩৮৫।


