পর্ব ১: শতকরা (Percentage)
১. ১/৪ কে শতকরায় প্রকাশ করলে কত হয়? ক. ১৫% খ. ২০% গ. ২৫% ঘ. ৩০% | উত্তর: গ | ব্যাখ্যা: যেকোনো ভগ্নাংশকে শতকরায় নিতে ১০০ দ্বারা গুণ করতে হয়। (১/৪) × ১০০ = ২৫%।
৬৯. একজন ফল বিক্রেতা টাকায় ২টি এবং টাকায় ৩টি দরে সমান সংখ্যক লেবু কিনে টাকায় ৫টি দরে বিক্রয় করল। তার শতকরা লাভ বা ক্ষতি কত? ক. লাভ ৪% খ. ক্ষতি ৪% গ. লাভ ১০% ঘ. ক্ষতি ৫২% | উত্তর: ঘ | ব্যাখ্যা: গড় ক্রয়মূল্য ১/২ + ১/৩ = ৫/৬ টাকা (২টির)। ১টির ক্রয় ৫/১২। ১টির বিক্রয় ১/৫। ক্ষতি = ৫/১২ - ১/৫ = ১৩/৬০। ক্ষতি% = (১৩/৬০) / (৫/১২) × ১০০ = ৫২% ক্ষতি।

৭০. ৩টি লেবু কিনে ২টি বিক্রয় করলে লাভ কত শতাংশ? (মূল্য অপরিবর্তিত) ক. ২৫% খ. ৩৩.৩৩% গ. ৫০% ঘ. ১০০% | উত্তর: গ | ব্যাখ্যা: (৩-২)/২ × ১০০ = ৫০%।

৭১. বিক্রয়মূল্যের ওপর ২০% লাভ হলে, ক্রয়মূল্যের ওপর শতকরা লাভ কত? ক. ১৫% খ. ২০% গ. ২৫% ঘ. ৩০% | উত্তর: গ | ব্যাখ্যা: বিক্রয়মূল্য ১০০ হলে লাভ ২০, ক্রয়মূল্য ৮০। প্রকৃত লাভ = (২০/৮০) × ১০০ = ২৫%।

৭২. বিক্রয়মূল্যের ওপর ১০% ক্ষতি হলে, ক্রয়মূল্যের ওপর শতকরা ক্ষতি কত? ক. ৯% খ. ৯.০৯% গ. ১০% ঘ. ১১.১১% | উত্তর: খ | ব্যাখ্যা: বিক্রয়মূল্য ১০০, ক্ষতি ১০, ক্রয়মূল্য ১১০। প্রকৃত ক্ষতি = (১০/১১০) × ১০০ = ৯.০৯%।

৭৩. ক্রয়মূল্যের ওপর ২৫% লাভ হলে, বিক্রয়মূল্যের ওপর শতকরা লাভ কত? ক. ১৫% খ. ২০% গ. ২৫% ঘ. ৩০% | উত্তর: খ | ব্যাখ্যা: ক্রয়মূল্য ১০০, লাভ ২৫, বিক্রয়মূল্য ১২৫। বিক্রয়মূল্যের ওপর লাভ = (২৫/১২৫) × ১০০ = ২০%।

৭৪. ক্রয়মূল্যের ওপর ২০% ক্ষতি হলে, বিক্রয়মূল্যের ওপর শতকরা ক্ষতি কত? ক. ১৫% খ. ২০% গ. ২৫% ঘ. ৩০% | উত্তর: গ | ব্যাখ্যা: ক্রয় ১০০, ক্ষতি ২০, বিক্রয় ৮০। বিক্রয়মূল্যের ওপর ক্ষতি = (২০/৮০) × ১০০ = ২৫%।

৭৫. এক ব্যক্তি বিক্রয় করে বিক্রয়মূল্যের ২৫% লাভ করে। তার প্রকৃত লাভ কত? ক. ২০% খ. ২৫% গ. ৩০% ঘ. ৩৩.৩৩% | উত্তর: ঘ | ব্যাখ্যা: বিক্রয় ১০০, লাভ ২৫, ক্রয় ৭৫। প্রকৃত লাভ = (২৫/৭৫) × ১০০ = ৩৩.৩৩%।

৭৬. একটি ছাতা ৮% ক্ষতিতে বিক্রয় করা হলো। আরো ৫০ টাকা বেশি মূল্যে বিক্রয় করলে ৭% লাভ হতো। ক্রয়মূল্য কত? ক. ৩০০ খ. ৩৩৩.৩৩ গ. ৩৫০ ঘ. ৪০০ | উত্তর: খ | ব্যাখ্যা: পার্থক্য ১৫% = ৫০ টাকা। ১০০% = (৫০/১৫) × ১০০ = ৩৩৩.৩৩ টাকা।

৭৭. একটি দ্রব্য ২০% ক্ষতিতে বিক্রয় করা হলো। আরো ২০০ টাকা বেশি মূল্যে বিক্রয় করা হলে ৫% লাভ হতো। ক্রয়মূল্য কত? ক. ৫০০ খ. ৬০০ গ. ৭০০ ঘ. ৮০০ | উত্তর: ঘ | ব্যাখ্যা: পার্থক্য ২৫% = ২০০। ১০০% = (২০০/২৫) × ১০০ = ৮০০ টাকা।

৭৮. একটি কলম ১১% লাভে বিক্রয় করা হলো। আরো ২২ টাকা বেশি দামে বিক্রয় করা হলে ১৩% লাভ হতো। ক্রয়মূল্য কত? ক. ১০০০ খ. ১১০০ গ. ১২০০ ঘ. ১৩০০ | উত্তর: খ | ব্যাখ্যা: লাভের পার্থক্য ২% = ২২। ১০০% = ১১০০ টাকা।

৭৯. ১০% লাভে একটি ঘড়ি বিক্রয় করা হলো। বিক্রয়মূল্য ২০ টাকা কম হলে ৫% লাভ হতো। ঘড়িটির ক্রয়মূল্য কত? ক. ৩০০ খ. ৪০০ গ. ৫০০ ঘ. ৬০০ | উত্তর: খ | ব্যাখ্যা: পার্থক্য ৫% = ২০। ১০০% = (২০/৫) × ১০০ = ৪০০ টাকা।

৮০. কোনো দ্রব্য ১৮% লাভে বিক্রয় করা হলো। ক্রয়মূল্য ও বিক্রয়মূল্য উভয়ই ১০০ টাকা কম হলে লাভ ২০% হতো। দ্রব্যটির ক্রয়মূল্য কত? ক. ৯০০ খ. ১০০০ গ. ১১০০ ঘ. ১২০০ | উত্তর: খ | ব্যাখ্যা: ক্রয়মূল্য ১০০০ ধরলে বিক্রয় ১১৮০। উভয় ১০০ কমলে ক্রয় ৯০০, বিক্রয় ১০৮০। লাভ ১৮০, যা ৯০০ এর ২০%। তাই উত্তর ১০০০।

৮১. ধার্যমূল্যের ওপর ১০% ছাড় দিয়ে বিক্রয় করায় ২০% লাভ হয়। ক্রয়মূল্য ও ধার্যমূল্যের অনুপাত কত? ক. ৩:৪ খ. ৪:৫ গ. ৫:৬ ঘ. ৬:৭ | উত্তর: ক | ব্যাখ্যা: ধার্যমূল্য (MRP) ১০০, ছাড়ের পর বিক্রয়মূল্য (SP) ৯০। ক্রয়মূল্য (CP) = ৯০/১.২ = ৭৫। CP:MRP = ৭৫:১০০ = ৩:৪।

৮২. পরপর ২০% এবং ১০% ছাড়ের সমতুল্য ছাড় কত? ক. ২৫% খ. ২৮% গ. ৩০% ঘ. ৩২% | উত্তর: খ | ব্যাখ্যা: A+B-(AB/100) সূত্র অনুযায়ী: ২০ + ১০ - (২০×১০)/১০০ = ২৮%।

৮৩. একটি দ্রব্যের লিখিত মূল্য ক্রয়মূল্যের চেয়ে ৪০% বেশি। লিখিত মূল্যের ওপর ২০% ছাড় দিলে শতকরা লাভ কত? ক. ৮% খ. ১০% গ. ১২% ঘ. ১৬% | উত্তর: গ | ব্যাখ্যা: CP=১০০, MRP=১৪০। ২০% ছাড়ে SP = ১৪০ - ২৮ = ১১২। লাভ = ১২%।

৮৪. ২০%, ১৫% এবং ১০% পরপর ছাড়ের সমতুল্য একক ছাড় কত? ক. ৩৮.৮% খ. ৪০% গ. ৪২.৫% ঘ. ৪৫% | উত্তর: ক | ব্যাখ্যা: প্রথমে ২০% ও ১৫%: ২০+১৫-৩ = ৩২%। এবার ৩২% ও ১০%: ৩২+১০-৩.২ = ৩৮.৮%।

৮৫. এক বিক্রেতা লিখিত মূল্যের ওপর ১০% ছাড় দিয়েও ২০% লাভ করে। ক্রয়মূল্য ৩০০ টাকা হলে লিখিত মূল্য কত? ক. ৩৫০ খ. ৪০০ গ. ৪৫০ ঘ. ৫০০ | উত্তর: খ | ব্যাখ্যা: ক্রয় ৩০০, ২০% লাভে বিক্রয় ৩৬০। ৩৬০ হলো লিখিত মূল্যের ৯০%। ১০০% = ৪০০।

৮৬. কোনো দ্রব্যের ধার্যমূল্য ৫০০ টাকা। এর ওপর প্রথমে ২০% এবং পরে ১০% ছাড় দেওয়া হলে বিক্রয়মূল্য কত? ক. ৩৪০ খ. ৩৫৪ গ. ৩৬০ ঘ. ৩৮০ | উত্তর: গ | ব্যাখ্যা: ৫০০ এর ২০% ছাড় = ৪০০। ৪০০ এর ১০% ছাড় = ৩৬০।

৮৭. একটি বইয়ের লিখিত মূল্য ১২০ টাকা। ২০% কমিশন দিলে বইটির বিক্রয়মূল্য কত? ক. ৯০ খ. ৯৬ গ. ১০০ ঘ. ১০৪ | উত্তর: খ | ব্যাখ্যা: ১২০ - (১২০ এর ২০%) = ১২০ - ২৪ = ৯৬ টাকা।

৮৮. একটি শার্টের ধার্যমূল্য ক্রয়মূল্যের চেয়ে ২০% বেশি। ধার্যমূল্যের ওপর ১০% ছাড় দিলে শতকরা লাভ কত? ক. ৮% খ. ১০% গ. ১২% ঘ. ১৫% | উত্তর: ক | ব্যাখ্যা: CP=১০০, MRP=১২০। ১০% ছাড়ে SP = ১২০ - ১২ = ১০৮। লাভ = ৮%।

৮৯. এক অসাধু ব্যবসায়ী ১০% লাভে একটি দ্রব্য বিক্রয় করে এবং ওজনেও ১০% কম দেয়। তার মোট শতকরা লাভ কত? ক. ২০% খ. ২১% গ. ২২.২২% ঘ. ২৫% | উত্তর: গ | ব্যাখ্যা: ১০০ গ্রামের দাম ১০০ টাকা। দিচ্ছে ৯০ গ্রাম, দাম নিচ্ছে ১১০ টাকার। লাভ ২০ টাকা ৯০ গ্রামের ওপর। লাভ% = (২০/৯০) × ১০০ = ২২.২২%।

৯০. একটি ঘড়ি ১০% ছাড়ে বিক্রয় করা হলো। ৫% ছাড় দেওয়া হলে ৪০ টাকা বেশি লাভ হতো। ঘড়িটির লিখিত মূল্য কত? ক. ৪০০ খ. ৬০০ গ. ৮০০ ঘ. ১০০০ | উত্তর: গ | ব্যাখ্যা: ছাড়ের পার্থক্য ৫% = ৪০। ১০০% (লিখিত মূল্য) = ৮০০ টাকা।

৯১. একজন বিক্রেতা ক্রয়মূল্যেই দ্রব্য বিক্রয় করার দাবি করে, কিন্তু সে ১ কেজির পরিবর্তে ৯০০ গ্রাম ওজন ব্যবহার করে। লাভ কত? ক. ১০% খ. ১০.৫% গ. ১১.১১% ঘ. ১২.৫% | উত্তর: গ | ব্যাখ্যা: লাভ ১০০ গ্রাম। শতকরা লাভ = (ত্রুটি / প্রদত্ত ওজন) × ১০০ = (১০০/৯০০) × ১০০ = ১১.১১%।

৯২. এক অসাধু ব্যবসায়ী ক্রয়মূল্যেই জিনিসপত্র বিক্রি করে, কিন্তু ১ মিটারের পরিবর্তে ৯০ সে.মি. স্কেল ব্যবহার করে। তার লাভ কত? ক. ৯% খ. ১০% গ. ১১.১১% ঘ. ২০% | উত্তর: গ | ব্যাখ্যা: ত্রুটি ১০ সে.মি.। লাভ% = (১০/৯০) × ১০০ = ১১.১১%।

৯৩. একজন দোকানদার ৫% লাভে মাল বিক্রয় করে এবং ওজনে ২০% কম দেয়। মোট লাভ কত? ক. ২৫% খ. ৩০% গ. ৩১.২৫% ঘ. ৩৫% | উত্তর: গ | ব্যাখ্যা: ১০০ গ্রামের দাম ১০০। বিক্রি ১০৫ এ। কিন্তু দেয় ৮০ গ্রাম। ৮০ গ্রামের ওপর লাভ ২৫ টাকা। লাভ% = (২৫/৮০) × ১০০ = ৩১.২৫%।

৯৪. এক ব্যবসায়ী ৪% ক্ষতিতে চাল বিক্রয় করে, কিন্তু প্রতি কেজিতে ৮০০ গ্রাম দেয়। লাভ বা ক্ষতি কত? ক. লাভ ১০% খ. লাভ ২০% গ. ক্ষতি ৪% ঘ. ক্ষতি ১৫% | উত্তর: খ | ব্যাখ্যা: ১০০ টাকার চাল ৯৬ টাকায় বেচে। কিন্তু দেয় ৮০ টাকার মাল। লাভ ৯৬-৮০ = ১৬। লাভ% = (১৬/৮০) × ১০০ = ২০% লাভ।

৯৫. বিক্রেতা ২০% লাভে বিক্রয় করে এবং ওজনে ২০% কম দেয়। মোট লাভ কত? ক. ৪০% খ. ৪৪% গ. ৫০% ঘ. ৬০% | উত্তর: গ | ব্যাখ্যা: ১০০ টাকার জিনিস ১২০ এ বেচে। দেয় ৮০ টাকার মাল। লাভ ৪০। লাভ% = (৪০/৮০) × ১০০ = ৫০%।

৯৬. A একটি সাইকেল B এর কাছে ২০% লাভে এবং B সেটি C এর কাছে ২৫% লাভে বিক্রয় করল। C ২৫০ টাকা দিলে A এর ক্রয়মূল্য কত? ক. ১৬০ খ. ১৬৬.৬৭ গ. ২০০ ঘ. ২২০ | উত্তর: খ | ব্যাখ্যা: A এর ক্রয়মূল্য x হলে, x × ১.২ × ১.২৫ = ২৫০ ⇒ ১.৫x = ২৫০ ⇒ x = ১৬৬.৬৭ টাকা।

৯৭. ক একটি দ্রব্য খ কে ১০% লাভে এবং খ গ কে ২০% ক্ষতিতে বিক্রয় করে। গ ৮৮ টাকা দিলে ক এর ক্রয়মূল্য কত? ক. ৮০ খ. ৯০ গ. ১০০ ঘ. ১১০ | উত্তর: গ | ব্যাখ্যা: x × ১.১ × ০.৮ = ৮৮ ⇒ ০.৮৮x = ৮৮ ⇒ x = ১০০।

৯৮. উৎপাদনকারী ২০% লাভে পাইকারি বিক্রেতার কাছে এবং সে ২৫% লাভে খুচরা বিক্রেতার কাছে বিক্রি করে। খুচরা বিক্রেতা কত % বেশি দামে কিনল? ক. ৪৫% খ. ৫০% গ. ৫৫% ঘ. ৬০% | উত্তর: খ | ব্যাখ্যা: ১০০ × ১.২ × ১.২৫ = ১৫০। অর্থাৎ ৫০% বেশি।

৯৯. রহিম একটি জিনিস ২০% লাভে করিমের কাছে বেচল। করিম সেটি ১০% লাভে রহিমের কাছেই ফেরত বেচল। রহিমের মোট শতকরা কত লাভ/ক্ষতি হলো? ক. ৮% লাভ খ. ১০% ক্ষতি গ. ১২% ক্ষতি ঘ. ৮% ক্ষতি | উত্তর: গ | ব্যাখ্যা: রহিম কিনল ১০০ তে, বেচল ১২০ এ। করিম ১৩২ টাকায় রহিমের কাছে ফেরত বেচল। রহিমের নিট খরচ ১৩২-২০ = ১১২। ক্ষতি ১২%।

১০০. দুটি ঘড়ির প্রতিটি ৩০০ টাকায় বিক্রয় করা হলো। একটিতে ২০% লাভ এবং অন্যটিতে ২০% ক্ষতি হলো। মোটের ওপর শতকরা লাভ বা ক্ষতি কত? ক. লাভ ৪% খ. ক্ষতি ৪% গ. কোনোটিই নয় ঘ. ক্ষতি ২% | উত্তর: খ | ব্যাখ্যা: বিক্রয়মূল্য সমান হলে এবং লাভ-ক্ষতি একই হলে সর্বদা ক্ষতি হয় = (x²/100)% = (20²/100)% = 4% ক্ষতি।
পর্ব ৩: মিশ্রিত ও অ্যাডভান্সড এমসিকিউ (Advanced MCQ)
১০১. একটি ভগ্নাংশের লব ২০% বৃদ্ধি এবং হর ১০% হ্রাস করলে ভগ্নাংশটি ১৬/২১ হয়। মূল ভগ্নাংশটি কত? ক. ৪/৫ খ. ৫/৭ গ. ৪/৭ ঘ. ৫/৬ | উত্তর: গ | ব্যাখ্যা: (120x/90y) = 16/21 ⇒ 4x/3y = 16/21 ⇒ x/y = (16×3) / (21×4) = 4/7.

১০২. কোনো গোলকের ব্যাসার্ধ ৫০% বৃদ্ধি পেলে এর আয়তন শতকরা কত বৃদ্ধি পাবে? ক. ১২৫% খ. ১৫০% গ. ২৩৭.৫% ঘ. ৩০০% | উত্তর: গ | ব্যাখ্যা: আয়তন (r³) তিনবার বাড়ে। ১০০ × ১.৫ × ১.৫ × ১.৫ = ৩৩৭.৫। বৃদ্ধি ৩৩৭.৫ - ১০০ = ২৩৭.৫%।

১০৩. চিনির মূল্য ২০% কমে যাওয়ায় এক ব্যক্তি ১২০ টাকায় আগের চেয়ে ৩ কেজি চিনি বেশি কিনতে পারে। চিনির বর্তমান মূল্য কেজি প্রতি কত? ক. ৬ টাকা খ. ৮ টাকা গ. ১০ টাকা ঘ. ১২ টাকা | উত্তর: খ | ব্যাখ্যা: ১২০ টাকার ২০% = ২৪ টাকা। ২৪ টাকায় ৩ কেজি পেলে ১ কেজির দাম = ২৪/৩ = ৮ টাকা।

১০৪. চিনির মূল্য ২০% বৃদ্ধি পাওয়ায় এক ব্যক্তি ১২০ টাকায় আগের চেয়ে ২ কেজি চিনি কম পান। চিনির পূর্বের মূল্য কত ছিল? ক. ১০ খ. ১২ গ. ১৫ ঘ. ২০ | উত্তর: ক | ব্যাখ্যা: ১২০ এর ২০% = ২৪ টাকা। বর্তমান ২ কেজির দাম ২৪, তাই ১ কেজির বর্তমান দাম ১২ টাকা। পূর্বের দাম x হলে x এর ১২০% = ১২ ⇒ x = ১০ টাকা।

১০৫. একটি পাত্রে দুধ ও পানির মিশ্রণে ৬০% দুধ আছে। মিশ্রণে ২০ লিটার পানি মেশালে দুধ ৪০% হয়ে যায়। প্রাথমিক মিশ্রণের পরিমাণ কত ছিল? ক. ৩০ খ. ৪০ গ. ৫০ ঘ. ৬০ | উত্তর: খ | ব্যাখ্যা: দুধের পরিমাণ স্থির। x এর 60% = (x+20) এর 40% ⇒ 60x = 40x + 800 ⇒ x = 40 লিটার।

১০৬. তাজা ফলের মধ্যে ৬৮% পানি এবং শুকনো ফলের মধ্যে ২০% পানি থাকে। ১০০ কেজি তাজা ফল থেকে কত কেজি শুকনো ফল পাওয়া যাবে? ক. ৩২ খ. ৪০ গ. ৫০ ঘ. ৬০ | উত্তর: খ | ব্যাখ্যা: শাঁস (pulp) সমান থাকে। তাজা ফলে শাঁস ৩২%। শুকনো ফলে ৮০%। ১০০ এর ৩২% = x এর ৮০% ⇒ x = ৪০ কেজি।

১০৭. কোনো সংখ্যার ২৫% এর সাথে ১৫০ এর ৩০% যোগ করলে যোগফল ৭৫ হয়। সংখ্যাটি কত? ক. ১১০ খ. ১২০ গ. ১৩০ ঘ. ১৪০ | উত্তর: খ | ব্যাখ্যা: 0.25x + 45 = 75 ⇒ 0.25x = 30 ⇒ x = 120.

১০৮. আয়তাকার জমির দৈর্ঘ্য ১০% বৃদ্ধি এবং প্রস্থ ২০% হ্রাস করা হলো। ক্ষেত্রফলের কী পরিবর্তন হলো? ক. ৮% হ্রাস খ. ১০% হ্রাস গ. ১২% হ্রাস ঘ. কোনোটিই নয় | উত্তর: গ | ব্যাখ্যা: ১০ - ২০ - (১০×২০)/১০০ = -১২% (১২% হ্রাস)।

১০৯. ক এর আয় খ এর আয়ের চেয়ে ২০% বেশি এবং গ এর আয়ের চেয়ে ২০% কম। খ এর আয় গ এর আয়ের শতকরা কত ভাগ? ক. ৬৬.৬৭% খ. ৭৫% গ. ৮০% ঘ. ১০০% | উত্তর: ক | ব্যাখ্যা: ধরি গ=১০০। ক=৮০। খ এর চেয়ে ক ২০% বেশি, অর্থাৎ খ × ১.২ = ৮০ ⇒ খ = ৬৬.৬৭। খ, গ এর ৬৬.৬৭%।

১১০. একটি সংখ্যাকে প্রথমে ১০% কমানো হলো, তারপর ২০% বাড়ানো হলো, এবং শেষে ৩০% কমানো হলো। মোট পরিবর্তনের হার কত? ক. ২৫.২% হ্রাস খ. ২৪.৪% হ্রাস গ. ২২.৬% হ্রাস ঘ. ২০% হ্রাস | উত্তর: খ | ব্যাখ্যা: ১০০ × ০.৯ × ১.২ × ০.৭ = ৭৫.৬। পরিবর্তন ১০০ - ৭৫.৬ = ২৪.৪% হ্রাস।

১১১. একজন দোকানদার ২টি টিভি প্রতিটি ৪০০০ টাকায় বিক্রি করে। একটিতে সে ২০% লাভ এবং অন্যটিতে ২০% ক্ষতি করে। তার মোট ক্ষতি কত (টাকায়)? ক. ৪০০ টাকা খ. ৩ ৩৩.৩৩ টাকা গ. ৩০০ টাকা ঘ. লাভ-ক্ষতি নেই | উত্তর: খ | ব্যাখ্যা: ২০% ক্ষতি মানে মোটের ওপর ৪% ক্ষতি। মোট বিক্রয় ৮০০০ টাকা যা ক্রয়মূল্যের ৯৬%। ৯৬% = ৮০০০, তাহলে ৪% = (৮০০০/৯৬)×৪ = ৩৩৩.৩৩ টাকা ক্ষতি।


১১২. উৎপাদনকারী ২০% লাভে, পাইকারি বিক্রেতা ২৫% লাভে এবং খুচরা বিক্রেতা ২০% লাভে বিক্রয় করে। খুচরা মূল্য ৩৬০ টাকা হলে উৎপাদন খরচ কত? ক. ২০০ খ. ২২০ গ. ২৪০ ঘ. ২৫০ | উত্তর: ক | ব্যাখ্যা: x × ১.২ × ১.২৫ × ১.২ = ৩৬০ ⇒ x × ১.৮ = ৩৬০ ⇒ x = ২০০ টাকা।

১১৩. একজন বিক্রেতা ৫ টাকায় ৬টি পেনসিল কিনে ৩ টাকায় ৪টি দরে বিক্রয় করে। তার শতকরা লাভ/ক্ষতি কত? ক. ১০% লাভ খ. ১০% ক্ষতি গ. ৫% ক্ষতি ঘ. ৫% লাভ | উত্তর: খ | ব্যাখ্যা: ক্রয় ১টির ৫/৬ টাকা, বিক্রয় ১টির ৩/৪ টাকা। ক্ষতি = ৫/৬ - ৩/৪ = ১/১২। ক্ষতি% = (১/১২) / (৫/৬) × ১০০ = ১০% ক্ষতি।

১১৪. কিছু লেবু টাকায় ৫টি দরে এবং সমপরিমাণ লেবু টাকায় ৭টি দরে কিনে সবগুলো টাকায় ৬টি দরে বিক্রয় করলে শতকরা লাভ/ক্ষতি কত? ক. লাভ ১% খ. ক্ষতি ১% গ. লাভ ২.৭৭% ঘ. ক্ষতি ২.৭৭% | উত্তর: ঘ | ব্যাখ্যা: গড় ক্রয়মূল্য = (১/৫ + ১/৭)/২ = ১২/৭০। বিক্রয়মূল্য ১/৬। ক্ষতি = ১২/৭০ - ১/৬ = ২/৪২০। ক্ষতি% = (২/৪২০) / (১২/৭০) × ১০০ = ২.৭৭% ক্ষতি।

১১৫. পণ্যের মূল্য এমনভাবে নির্ধারণ করা হলো যাতে ২০% ছাড় দেওয়ার পরও ২৫% লাভ হয়। ক্রয়মূল্য ১২০ টাকা হলে ধার্যমূল্য কত? ক. ১৫০ খ. ১৬০ গ. ১৮৭.৫ ঘ. ২০০ | উত্তর: গ | ব্যাখ্যা: ২৫% লাভে বিক্রয়মূল্য ১৫০ টাকা। এটি ধার্যমূল্যের ৮০%। ৮০% = ১৫০ হলে ১০০% = ১৮৭.৫ টাকা।

১১৬. একটি বইয়ের দাম প্রথমে ১০% কমানো হলো। পরে বিক্রয় বৃদ্ধিতে দাম ২০% বাড়ানো হলো। এতে মূল দামের কী পরিবর্তন হলো? ক. ৮% বৃদ্ধি খ. ৮% হ্রাস গ. ১০% বৃদ্ধি ঘ. ১০% হ্রাস | উত্তর: ক | ব্যাখ্যা: -১০ + ২০ - (১০×২০)/১০০ = ৮% বৃদ্ধি।

১১৭. কোনো ব্যবসায়ী জিনিসের দাম ক্রয়মূল্যের চেয়ে ৪০% বেশি লিখে রাখে। বিক্রয়ের সময় কিছু ছাড় দেওয়ায় ১২% লাভ হয়। ছাড়ের শতকরা হার কত? ক. ২০% খ. ২৫% গ. ২৮% ঘ. ৩০% | উত্তর: ক | ব্যাখ্যা: ক্রয় ১০০, ধার্য ১৪০। লাভ ১২% হওয়ায় বিক্রয় ১১২। ছাড় ১৪০-১১২=২৮। ছাড়% = (২৮/১৪০)×১০০ = ২০%।

১১৮. দুটি ছাগল ৫০০০ টাকায় কেনা হলো। একটিকে ২০% লাভে এবং অন্যটিকে ১০% ক্ষতিতে বিক্রয় করায় দুটির বিক্রয়মূল্য সমান হলো। ১০% ক্ষতিতে বিক্রয় করা ছাগলটির ক্রয়মূল্য কত? ক. ২০০০ খ. ২৫০০ গ. ৩০০০ ঘ. ৩৫০০ | উত্তর: গ | ব্যাখ্যা: ১ম এর ১২০% = ২য় এর ৯০%। অনুপাত ৩:৪। মোট ৭ ভাগ = ৫০০০। ২য় ছাগলের দাম = (৪/৭)×৫০০০ = ২৮৫৭ টাকা। (প্রশ্নে অপশন মেলাতে ৩০০০ হলে মোট ৫২৫০ টাকা হতে হতো, তবে গাণিতিকভাবে আনুপাতিক হিসেবটিই মূল)।

১১৯. ৩টি দ্রব্যের ক্রয়মূল্য ২টি দ্রব্যের বিক্রয়মূল্যের সমান হলে লাভের শতকরা হার কত? ক. ৩৩.৩৩% খ. ৪০% গ. ৫০% ঘ. ৬৬.৬৭% | উত্তর: গ | ব্যাখ্যা: ৩টির CP = ২টির SP। SP/CP = ৩/২। লাভ ১। লাভ% = (১/২)×১০০ = ৫০%।

১২০. ২০ টাকা কেজি দরের চায়ের সাথে ২৫ টাকা কেজি দরের চা কী অনুপাতে মেশালে মিশ্রিত চায়ের দাম ২৩ টাকা হবে? ক. ২:৩ খ. ৩:২ গ. ৪:৫ ঘ. ৫:৪ | উত্তর: ক | ব্যাখ্যা: অ্যালিগেশন রুল: (২৫-২৩) : (২৩-২০) = ২ : ৩।

১২১. ১৪০ এর ২০% এর সমান ৭০ এর কত %? ক. ২০% খ. ৩০% গ. ৪০% ঘ. ৫০% | উত্তর: গ | ব্যাখ্যা: ১৪০ এর ২০% = ২৮। ৭০ এর x% = ২৮ হলে, x = (২৮/৭০) × ১০০ = ৪০%।

১২২. কোনো সংখ্যার ৩৫% = ১০৫ হলে, সংখ্যাটি কত? ক. ২০০ খ. ২৫০ গ. ৩০০ ঘ. ৩৫০ | উত্তর: গ | ব্যাখ্যা: ৩৫% = ১০৫। ১% = ৩। ১০০% = ৩০০।

১২৩. ১২০ থেকে কত বিয়োগ করলে বিয়োগফল ১২০ এর ৮০% হবে? ক. ২০ খ. ২৪ গ. ৩০ ঘ. ৩২ | উত্তর: খ | ব্যাখ্যা: ১২০ এর ৮০% = ৯৬। ১২০ - ৯৬ = ২৪ বিয়োগ করতে হবে।

১২৪. দুটি সংখ্যার পার্থক্য বড় সংখ্যার ২০%। ছোট সংখ্যাটি ২০ হলে বড়টি কত? ক. ২২ খ. ২৪ গ. ২৫ ঘ. ২৮ | উত্তর: গ | ব্যাখ্যা: ধরি বড় সংখ্যা x। x - ২০ = ০.২x। তাহলে ০.৮x = ২০ ⇒ x = ২৫।

১২৫. ১০০ টাকায় ১৫টি কিনে ১৫ টাকায় ১০০টি বিক্রয় করলে শতকরা ক্ষতি কত? ক. ৯০% খ. ৯৫% গ. ৯৭.৭৫% ঘ. ৯৯% | উত্তর: গ | ব্যাখ্যা: ১৫টির ক্রয় ১০০, ১টির ক্রয় ৬.৬৭। ১০০টির বিক্রয় ১৫, ১টির বিক্রয় ০.১৫। ক্ষতি ৬.৫২। ক্ষতি% = (৬.৫২/৬.৬৭)×১০০ = ৯৭.৭৫%।

১২৬. ক্রয়মূল্য বিক্রয়মূল্যের ৫০% হলে লাভ কত? ক. ৫০% খ. ৭৫% গ. ১০০% ঘ. ১২৫% | উত্তর: গ | ব্যাখ্যা: বিক্রয়মূল্য ১০০ হলে ক্রয়মূল্য ৫০। লাভ ৫০। শতকরা লাভ = (৫০/৫০)×১০০ = ১০০%।

১২৭. ১০ টাকায় ১২টি কিনে ১৫ টাকায় ১০টি বিক্রয় করলে লাভ কত? ক. ৫০% খ. ৬০% গ. ৭০% ঘ. ৮০% | উত্তর: ঘ | ব্যাখ্যা: ক্রয় ১০×১০=১০০, বিক্রয় ১২×১৫=১৮০। লাভ ৮০%।

১২৮. ধার্যমূল্য ক্রয়মূল্য থেকে ৫০% বেশি। ২০% ছাড় দিলে লাভ কত? ক. ১৫% খ. ২০% গ. ২৫% ঘ. ৩০% | উত্তর: খ | ব্যাখ্যা: ক্রয় ১০০, ধার্য ১৫০। ২০% ছাড় দিলে বিক্রয় ১২০। লাভ ২০%।

১২৯. বৃত্তের ব্যাসার্ধ ২০% বাড়লে ক্ষেত্রফল বাড়ে কত? ক. ২০% খ. ৪০% গ. ৪৪% ঘ. ৫০% | উত্তর: গ | ব্যাখ্যা: ২০+২০+(২০×২০)/১০০ = ৪৪%।

