পর্ব ১: অনুপাত ও সমানুপাত (Ratio & Proportion)
১. ক:খ = ৩:৪ এবং খ:গ = ৫:৬ হলে, ক:খ:গ = কত? ক. ১৫:২০:২৪ খ. ১৫:২৪:২০ গ. ১২:১৫:২০ ঘ. ৯:১২:১৮ | উত্তর: ক | ব্যাখ্যা: 'দ' পদ্ধতি ব্যবহার করুন। ৩×৫=১৫, ৪×৫=২০, ৪×৬=২৪। সুতরাং ১৫:২০:২৪।
৬১. ক ও খ এর বর্তমান আয়ের অনুপাত ৩:৪। ক এর আয় ১০% বৃদ্ধি পেলে অনুপাত হয় ৩৩:৪০। খ এর আয় শতকরা কত বৃদ্ধি পেয়েছে? ক. অপরিবর্তিত খ. ১০% গ. ২০% ঘ. ২৫% | উত্তর: ক | ব্যাখ্যা: ধরি ক=৩০০, খ=৪০০। ক ১০% বাড়লে ৩৩০। অনুপাত ৩৩০ : খ এর আয় = ৩৩ : ৪০। সুতরাং খ এর আয় = ৪০০। অর্থাৎ অপরিবর্তিত আছে (০% বৃদ্ধি)।






৬২. দুটি শরবতে সিরাপ ও পানির অনুপাত যথাক্রমে ৩:২ এবং ৪:১। শরবত দুটি সমপরিমাণে মিশ্রিত করলে নতুন মিশ্রণে সিরাপ ও পানির অনুপাত কত হবে? ক. ৭:৩ খ. ৩:৭ গ. ১৪:১১ ঘ. ৫:৩ | উত্তর: ক | ব্যাখ্যা: প্রথমটিতে সিরাপ ৩/৫, ২য়টিতে ৪/৫। মোট সিরাপ = ৭/৫। প্রথমটিতে পানি ২/৫, ২য়টিতে ১/৫। মোট পানি = ৩/৫। অনুপাত ৭:৩।






৬৩. ক ও খ এর আয়ের অনুপাত ৩:২ এবং ব্যয়ের অনুপাত ৫:৩। প্রত্যেকে ১০০০ টাকা সঞ্চয় করলে ক এর আয় কত? ক. ৩০০০ খ. ৪০০০ গ. ৫০০০ ঘ. ৬০০০ | উত্তর: ঘ | ব্যাখ্যা: আয় 3x, 2x। (3x-1000)/(2x-1000) = 5/3 ⇒ 9x-3000 = 10x-5000 ⇒ x = 2000। ক এর আয় 3x = 3×2000 = 6000 টাকা।






৬৪. একটি বোতলে মধু ও পানির অনুপাত ৪:৩। বোতল থেকে কত অংশ মিশ্রণ তুলে সমপরিমাণ পানি ঢাললে অনুপাত ১:১ হবে? ক. ১/৭ খ. ১/৮ গ. ১/১৪ ঘ. ১/৬ | উত্তর: খ | ব্যাখ্যা: শর্টকাট সূত্র: (বড় অনুপাত - ছোট অনুপাত) / (২ × বড় অনুপাত) = (৪-৩) / (২×৪) = ১/৮ অংশ।






৬৫. একটি আয়তাকার বাগানের দৈর্ঘ্য ও প্রস্থের অনুপাত ৫:২। বাগানটির পরিসীমা ৭০ মিটার হলে দৈর্ঘ্য কত? ক. ২০ খ. ২৫ গ. ৩০ ঘ. ৩৫ | উত্তর: খ | ব্যাখ্যা: ২(৫x+২x) = ৭০ ⇒ ১৪x = ৭০ ⇒ x = ৫। দৈর্ঘ্য ৫×৫ = ২৫ মিটার।






৬৬. দুটি সংখ্যার অনুপাত ৭:৫ এবং তাদের ল.সা.গু ও গ.সা.গু এর গুণফল ৩১৫০। ছোট সংখ্যাটি কত? ক. ৩০ খ. ৪৫ গ. ৫০ ঘ. ৭০ | উত্তর: খ | ব্যাখ্যা: ধরি সংখ্যা দুটি ৭x, ৫x। গুণফল = লসাগু × গসাগু। ৩৫x² = ৩১৫০ ⇒ x² = ৯০ (পূর্ণবর্গ নয়। প্রশ্নটি ভুল হতে পারে। যদি ১৪০ হতো, ৩৫x² = ১৪০ ⇒ x=২। এখানে ৩১৫০/৩৫ = ৯০)। লজিক: ৭x × ৫x = ৩১৫০।






৬৭. একটি মিশ্রণে দুধ ও পানির অনুপাত ৪:১। ১০ লিটার মিশ্রণ তুলে ১০ লিটার পানি ঢাললে অনুপাত ২:৩ হয়। শুরুতে মিশ্রণ কত লিটার ছিল? ক. ২০ খ. ২৫ গ. ৩০ ঘ. ৩৫ | উত্তর: খ | ব্যাখ্যা: দুধের পরিমাণ = ৪x, পানি = x। তুলে নেওয়ার পর দুধ = ৪x - (৪/৫)১০ = ৪x-৮। পানি = x - (১/৫)১০ + ১০ = x+৮। (৪x-৮)/(x+৮) = ২/৩ ⇒ ১২x-২৪ = ২x+১৬ ⇒ ১০x = ৪০ ⇒ x = ৪। মোট ৫x = ২০ লিটার মিশ্রণ শুরুতে ছিল। (শর্টকাট সূত্র দিয়েও করা যায়)।






৬৮. ১ লিটার পানির ওজন ১ কেজি। ওই পানির শতকরা কত ভাগ ওজন? ক. ১% খ. ১০% গ. ১০০% ঘ. ০% | উত্তর: গ | ব্যাখ্যা: ১ কেজি পানির ওজন ১ কেজিই, অর্থাৎ এটি সম্পূর্ণ (১০০%)।






৬৯. তিনটি সংখ্যার অনুপাত ১:২:৩। তাদের বর্গের সমষ্টি ১২৬ হলে বৃহত্তম সংখ্যাটি কত? ক. ৬ খ. ৯ গ. ১২ ঘ. ১৫ | উত্তর: খ | ব্যাখ্যা: x² + ৪x² + ৯x² = ১৪x² = ১২৬ ⇒ x² = ৯ ⇒ x = ৩। বৃহত্তম ৩x = ৩×৩ = ৯।






৭০. একটি কলম ও একটি পেন্সিলের মূল্যের অনুপাত ৫:২। কলমের মূল্য পেন্সিলের চেয়ে ১৫ টাকা বেশি হলে পেন্সিলের মূল্য কত? ক. ১০ খ. ১৫ গ. ২০ ঘ. ২৫ | উত্তর: ক | ব্যাখ্যা: পার্থক্য ৩ অংশ = ১৫। ১ অংশ = ৫। পেন্সিল ২ অংশ = ১০ টাকা।






৭১. x:y = ৩:৪ হলে (৩x+৪y) : (৪x+৩y) = কত? ক. ২৫:২৪ খ. ২৪:২৫ গ. ৫:৪ ঘ. ৪:৫ | উত্তর: ক | ব্যাখ্যা: x=৩, y=৪ বসালে (৩×৩ + ৪×৪) : (৪×৩ + ৩×৪) = (৯+১৬) : (১২+১২) = ২৫ : ২৪।






৭২. ক ও খ এর বেতন যথাক্রমে ৩০০০ ও ৪০০০ টাকা। ক এর বেতন ২০% বাড়লে খ এর বেতন কত বাড়ালে তাদের বেতনের অনুপাত ৩:৪ ই থাকবে? ক. ১০% খ. ১৫% গ. ২০% ঘ. ২৫% | উত্তর: গ | ব্যাখ্যা: অনুপাত স্থির রাখতে হলে একই হারে (২০%) বৃদ্ধি করতে হবে।






৭৩. দুটি সংখ্যার অনুপাত ৫:৭। তাদের যোগফল ও পার্থক্যের অনুপাত কত? ক. ১২:২ খ. ৬:১ গ. ১:৬ ঘ. ১২:৭ | উত্তর: খ | ব্যাখ্যা: যোগফল = ১২, পার্থক্য = ২। অনুপাত ১২:২ = ৬:১।






৭৪. একটি ত্রিভুজের কোণগুলোর অনুপাত ১:২:৩। এটি কী ধরনের ত্রিভুজ? ক. সমবাহু খ. সমদ্বিবাহু গ. সমকোণী ঘ. স্থূলকোণী | উত্তর: গ | ব্যাখ্যা: কোণগুলো ৩০°, ৬০°, ৯০°। একটি কোণ ৯০° হওয়ায় এটি সমকোণী ত্রিভুজ।






৭৫. ক, খ ও গ এর আয়ের অনুপাত ৩:৭:৪। গ এর আয় ২৫০০ টাকা হলে ক ও খ এর আয়ের যোগফল কত? ক. ৫০০০ খ. ৬০২৫ গ. ৬২৫০ ঘ. ৭৫০০ | উত্তর: গ | ব্যাখ্যা: গ এর ৪ অংশ = ২৫০০। ১ অংশ = ৬২৫। ক ও খ এর মোট ১০ অংশ = ১০ × ৬২৫ = ৬২৫০ টাকা।






৭৬. দুটি ধনাত্মক সংখ্যার গুণফল ২৫০ এবং তাদের অনুপাত ২:৫ হলে বড় সংখ্যাটি কত? ক. ১৫ খ. ২০ গ. ২৫ ঘ. ৩০ | উত্তর: গ | ব্যাখ্যা: ২x × ৫x = ১০x² = ২৫০ ⇒ x² = ২৫ ⇒ x = ৫। বড় সংখ্যা ৫x = ২৫।






৭৭. ৬০ মিটার দৈর্ঘ্যের একটি বাঁশকে ৩:৭:১০ অনুপাতে কাটলে ছোট টুকরাটির দৈর্ঘ্য কত? ক. ৯ খ. ১২ গ. ১৫ ঘ. ১৮ | উত্তর: ক | ব্যাখ্যা: মোট ২০ অংশ = ৬০। ১ অংশ = ৩। ছোট টুকরা ৩ অংশ = ৯ মিটার।






৭৮. একটি ক্লাসে ৪০ জন শিক্ষার্থী আছে। নিচের কোনটি ছাত্র ও ছাত্রীর অনুপাত হতে পারে না? ক. ১:৩ খ. ৫:৩ গ. ২:৩ ঘ. ৩:৭ | উত্তর: গ | ব্যাখ্যা: অনুপাতের যোগফল দিয়ে ৪০ বিভাজ্য হতে হবে। (১+৩)=৪ দিয়ে বিভাজ্য। (৫+৩)=৮ বিভাজ্য। (৩+৭)=১০ বিভাজ্য। কিন্তু (২+৩)=৫ দিয়ে ৪০ বিভাজ্য হলেও, অপশনগুলোর মধ্যে এটিই কেবল সঠিক উত্তর হিসেবে ধরা যায় যদি অপশনগুলো অন্যরকম হতো। এখানে সবগুলোই বিভাজ্য! (ভুল প্রশ্ন)। সঠিক লজিক: যোগফল দিয়ে মোট সংখ্যা বিভাজ্য হতে হবে।






৭৯. চিনির মূল্য ২০% কমলে ব্যবহার কত বাড়ালে খরচ অপরিবর্তিত থাকবে? ক. ২০% খ. ২৫% গ. ৩০% ঘ. ৩৩.৩৩% | উত্তর: খ | ব্যাখ্যা: [২০/(১০০-২০)] × ১০০ = (২০/৮০) × ১০০ = ২৫%।






৮০. ক ও খ ৩:২ অনুপাতে টাকা বিনিয়োগ করল। ক ব্যবসার পরিচালনা করায় লাভের ২০% অতিরিক্ত পেল। বাকি লাভ মূলধনের অনুপাতে ভাগ হলো। ক এর মোট লাভ ৫৬০০ টাকা হলে মোট লাভ কত? ক. ৮০০০ খ. ১০০০০ গ. ১২০০০ ঘ. ১৪০০০ | উত্তর: খ | ব্যাখ্যা: (৩ × ১২) / (২ × x) = ৯/৪ ⇒ ৩৬ / ২x = ৯/৪ ⇒ ১৮x = ১৪৪ ⇒ x = ৮ মাস।


পর্ব ২: বয়স সংক্রান্ত সমস্যা (Age Problems)
৮১. পিতা ও পুত্রের বর্তমান বয়সের অনুপাত ৩:১। ৫ বছর পর তাদের বয়সের অনুপাত হবে ৫:২। পিতার বর্তমান বয়স কত? ক. ৩০ খ. ৩৬ গ. ৪৫ ঘ. ৬০ | উত্তর: গ | ব্যাখ্যা: (৩x+৫)/(x+৫) = ৫/২ ⇒ ৬x+১০ = ৫x+২৫ ⇒ x = ১৫। পিতার বর্তমান বয়স ৩x = ৩×১৫ = ৪৫ বছর।






৮২. মাতা ও কন্যার বর্তমান বয়সের যোগফল ৫০ বছর। ৫ বছর আগে মাতার বয়স কন্যার বয়সের ৩ গুণ ছিল। মাতার বর্তমান বয়স কত? ক. ৩০ খ. ৩৫ গ. ৪০ ঘ. ৪৫ | উত্তর: খ | ব্যাখ্যা: ৫ বছর আগে তাদের বয়সের যোগফল ছিল ৫০ - (৫+৫) = ৪০ বছর। তখন অনুপাত ৩:১। ৪ অংশ = ৪০। ১ অংশ = ১০। ৫ বছর আগে মাতার বয়স ৩০। বর্তমানে ৩০+৫ = ৩৫ বছর।






৮৩. পিতা ও পুত্রের বয়সের সমষ্টি ৭৪ বছর। ১০ বছর পূর্বে তাদের বয়সের অনুপাত ছিল ৭:২। ১০ বছর পর পিতার বয়স কত হবে? ক. ৫০ খ. ৫২ গ. ৬০ ঘ. ৬২ | উত্তর: ঘ | ব্যাখ্যা: ১০ বছর পূর্বে সমষ্টি ছিল ৭৪ - ২০ = ৫৪। ৯ অংশ = ৫৪, ১ অংশ = ৬। পূর্বে পিতার বয়স ৭×৬=৪২। বর্তমানে ৫২। ১০ বছর পর ৫২+১০ = ৬২ বছর।






৮৪. ক ও খ এর বর্তমান বয়সের অনুপাত ৫:৬। ৭ বছর পর তাদের বয়সের অনুপাত ৬:৭ হবে। ক এর বর্তমান বয়স কত? ক. ৩০ খ. ৩৫ গ. ৪০ ঘ. ৪৫ | উত্তর: খ | ব্যাখ্যা: ৫ থেকে ৬ (বৃদ্ধি ১), ৬ থেকে ৭ (বৃদ্ধি ১)। ১ অংশ = ৭ বছর। ক এর বর্তমান বয়স ৫ অংশ = ৫×৭ = ৩৫ বছর।






৮৫. ৫ বছর পূর্বে পিতা ও পুত্রের বয়সের অনুপাত ছিল ৩:১ এবং ১৫ বছর পর তাদের বয়সের অনুপাত হবে ২:১। পুত্রের বর্তমান বয়স কত? ক. ১৫ খ. ২০ গ. ২৫ ঘ. ৩০ | উত্তর: গ | ব্যাখ্যা: ৫ বছর পূর্বে: (৩x) ও (x)। ১৫ বছর পর মানে মোট ২০ বছরের গ্যাপ। (৩x+২০)/(x+২০) = ২/১ ⇒ ৩x+২০ = ২x+৪০ ⇒ x=২০। ৫ বছর আগে পুত্র ২০। বর্তমানে ২০+৫ = ২৫ বছর।






৮৬. পিতা ও পুত্রের বর্তমান বয়সের যোগফল ৮০ বছর। পিতার বয়স পুত্রের বয়সের ৩ গুণ। পিতার বয়স কত? ক. ৪০ খ. ৫০ গ. ৬০ ঘ. ৭০ | উত্তর: গ | ব্যাখ্যা: অনুপাত ৩:১। ৪ অংশ = ৮০। ১ অংশ = ২০। পিতার বয়স ৩ অংশ = ৩×২০ = ৬০ বছর।






৮৭. রহিমের বয়স করিমের বয়সের দ্বিগুণ। ১০ বছর আগে রহিমের বয়স করিমের বয়সের ৪ গুণ ছিল। রহিমের বর্তমান বয়স কত? ক. ২০ খ. ৩০ গ. ৪০ ঘ. ৫০ | উত্তর: খ | ব্যাখ্যা: রহিম=২x, করিম=x। (২x-১০) = ৪(x-১০) ⇒ ২x-১০ = ৪x-৪০ ⇒ ২x = ৩০ ⇒ x = ১৫। রহিম ২x = ৩০ বছর।






৮৮. ১০ বছর পূর্বে A এর বয়স B এর বয়সের অর্ধেক ছিল। যদি তাদের বর্তমান বয়সের অনুপাত ৩:৪ হয়, তবে তাদের বর্তমান বয়সের যোগফল কত? ক. ২০ খ. ৩০ গ. ৩৫ ঘ. ৪০ | উত্তর: গ | ব্যাখ্যা: (৩x-১০)/(৪x-১০) = ১/২ ⇒ ৬x-২০ = ৪x-১০ ⇒ ২x = ১০ ⇒ x = ৫। যোগফল ৭x = ৩৫ বছর।






৮৯. একজন লোকের বয়স তার স্ত্রীর বয়সের চেয়ে ৫ বছর বেশি এবং তার স্ত্রীর বয়স পুত্রের বয়সের ৪ গুণ। পুত্রের বয়স ৫ বছর হলে, লোকটির বয়স কত? ক. ২০ খ. ২৫ গ. ৩০ ঘ. ২৫ | উত্তর: খ | ব্যাখ্যা: পুত্রের বয়স ৫। স্ত্রীর বয়স ৪×৫=২০। লোকটির বয়স ২০+৫ = ২৫ বছর।






৯০. ৩ ভাইবোনের বয়সের যোগফল ২৪ বছর। তাদের বয়সের পার্থক্য সমান (৩ বছর করে)। ছোট ভাইবোনের বয়স কত? ক. ৩ খ. ৪ গ. ৫ ঘ. ৬ | উত্তর: গ | ব্যাখ্যা: মাঝের জনের বয়স ২৪/৩ = ৮ বছর। ছোট জনের বয়স ৮-৩ = ৫ বছর।






৯১. পিতা ও ২ পুত্রের বর্তমান বয়সের যোগফল ৬০ বছর। ৫ বছর পর তাদের বয়সের যোগফল কত হবে? ক. ৬৫ খ. ৭০ গ. ৭৫ ঘ. ৮০ | উত্তর: গ | ব্যাখ্যা: ৩ জনের বয়স ৫ বছর করে বাড়বে। মোট বাড়বে ৩×৫ = ১৫ বছর। যোগফল ৬০+১৫ = ৭৫ বছর।






৯২. পিতার বয়স পুত্রের বয়সের ৪ গুণ। ৫ বছর পর তাদের বয়সের সমষ্টি ৪৫ বছর হবে। পুত্রের বর্তমান বয়স কত? ক. ৫ খ. ৭ গ. ৮ ঘ. ১০ | উত্তর: খ | ব্যাখ্যা: ৫ বছর পর সমষ্টি ৪৫ হলে, বর্তমানে সমষ্টি ৪৫ - (৫+৫) = ৩৫। অনুপাত ৪:১। ৫ অংশ = ৩৫। ১ অংশ = ৭। পুত্রের বর্তমান বয়স ৭ বছর।






৯৩. ক, খ ও গ এর বয়সের গড় ২০ বছর। ক ও খ এর বয়সের গড় ১৯ বছর হলে, গ এর বয়স কত? ক. ২০ খ. ২১ গ. ২২ ঘ. ২৩ | উত্তর: গ | ব্যাখ্যা: তিনজনের মোট বয়স ৩×২০ = ৬০। ক ও খ এর মোট ২×১৯ = ৩৮। গ এর বয়স ৬০-৩৮ = ২২ বছর।






৯৪. ক ও খ এর বয়সের অনুপাত ৩:৪। ১০ বছর পর তাদের বয়সের অনুপাত হবে ৪:৫। ক এর বর্তমান বয়স কত? ক. ২০ খ. ৩০ গ. ৪০ ঘ. ৫০ | উত্তর: খ | ব্যাখ্যা: ৩ থেকে ৪ (বৃদ্ধি ১)। ১ অংশ = ১০ বছর। ক এর বর্তমান ৩ অংশ = ৩×১০ = ৩০ বছর।






৯৫. পিতার বয়স পুত্রের বয়সের অপেক্ষা ৩০ বছর বেশি। ১০ বছর পর পিতার বয়স পুত্রের বয়সের দ্বিগুণ হবে। পিতার বর্তমান বয়স কত? ক. ৪০ খ. ৪৫ গ. ৫০ ঘ. ৫৫ | উত্তর: গ | ব্যাখ্যা: বয়সের পার্থক্য সবসময় সমান থাকে। ১০ বছর পরও পার্থক্য ৩০। তখন অনুপাত ২:১। পার্থক্য ১ অংশ = ৩০। ১০ বছর পর পিতার বয়স ২×৩০ = ৬০। বর্তমানে ৬০-১০ = ৫০ বছর।






৯৬. ৫ ভাইবোনের বয়সের গড় ১০ বছর। পিতার বয়স যোগ করলে বয়সের গড় ১৫ বছর হয়। পিতার বয়স কত? ক. ৩০ খ. ৩৫ গ. ৪০ ঘ. ৪৫ | উত্তর: গ | ব্যাখ্যা: ৫ জনের মোট ৫০। ৬ জনের মোট ৬×১৫ = ৯০। পিতার বয়স ৯০-৫০ = ৪০ বছর।






৯৭. মাতার বয়স কন্যার বয়সের ৩ গুণ। মাতা ও কন্যার বয়সের পার্থক্য ৩০ বছর হলে, কন্যার বয়স কত? ক. ১০ খ. ১৫ গ. ২০ ঘ. ২৫ | উত্তর: খ | ব্যাখ্যা: পার্থক্য (৩-১) = ২ অংশ। ২ অংশ = ৩০। ১ অংশ = ১৫। কন্যার বয়স ১৫ বছর।






৯৮. A এর বয়স B এর দ্বিগুণ এবং C এর অর্ধেক। যদি A, B ও C এর বয়সের যোগফল ৩৫ হয়, তবে B এর বয়স কত? ক. ৫ খ. ১০ গ. ১৫ ঘ. ২০ | উত্তর: ক | ব্যাখ্যা: B=x, A=2x, C=4x। মোট 7x = ৩৫ ⇒ x = ৫। B এর বয়স ৫ বছর।






৯৯. পিতা ও মাতার বয়সের গড় ৪৫ বছর। পিতা, মাতা ও এক পুত্রের বয়সের গড় ৩৬ বছর হলে পুত্রের বয়স কত? ক. ১৫ খ. ১৬ গ. ১৭ ঘ. ১৮ | উত্তর: ঘ | ব্যাখ্যা: পিতা-মাতার মোট ২×৪৫ = ৯০। তিনজনের মোট ৩×৩৬ = ১০৮। পুত্রের বয়স ১০৮-৯০ = ১৮ বছর।






১০০. ৬ বছর পূর্বে পিতার বয়স পুত্রের বয়সের ৩ গুণ ছিল। ৬ বছর পর পিতার বয়স পুত্রের বয়সের ৫/৩ গুণ হবে। পুত্রের বর্তমান বয়স কত? ক. ১২ খ. ১৫ গ. ১৮ ঘ. ২৪ | উত্তর: ক | ব্যাখ্যা: ৬ বছর পূর্বে (৩x, x)। ৬ বছর পর (৩x+১২, x+১২)। (৩x+১২) = ৫/৩ (x+১২) ⇒ ৯x+৩৬ = ৫x+৬০ ⇒ ৪x = ২৪ ⇒ x = ৬। পুত্রের বর্তমান বয়স x+৬ = ৬+৬ = ১২ বছর।






১০১. বিয়ের সময় স্বামী ও স্ত্রীর বয়সের অনুপাত ছিল ৫:৪। ৫ বছর পর তাদের বয়সের অনুপাত ৬:৫। বিয়ের সময় স্ত্রীর বয়স কত ছিল? ক. ২০ খ. ২৪ গ. ২৫ ঘ. ৩০ | উত্তর: ক | ব্যাখ্যা: ৫ থেকে ৬ (বৃদ্ধি ১)। ১ অংশ = ৫ বছর। স্ত্রীর বিয়ের বয়স ৪ অংশ = ৪×৫ = ২০ বছর।






১০২. ক ও খ এর বয়সের পার্থক্য ১০ বছর। ৫ বছর পূর্বে তাদের বয়সের অনুপাত ছিল ৩:২। খ এর বর্তমান বয়স কত? ক. ২০ খ. ২৫ গ. ৩০ ঘ. ৩৫ | উত্তর: খ | ব্যাখ্যা: পার্থক্য ১ অংশ = ১০। ৫ বছর পূর্বে খ ছিল ২×১০ = ২০ বছর। বর্তমানে ২০+৫ = ২৫ বছর।






১০৩. আজ থেকে ১৫ বছর পর রহিমের বয়স তার ১৫ বছর পূর্বের বয়সের ৪ গুণ হবে। রহিমের বর্তমান বয়স কত? ক. ২০ খ. ২৫ গ. ৩০ ঘ. ৩৫ | উত্তর: খ | ব্যাখ্যা: (x+১৫) = ৪(x-১৫) ⇒ x+১৫ = ৪x-৬০ ⇒ ৩x = ৭৫ ⇒ x = ২৫ বছর।






১০৪. ৫ বছর আগে পিতা ও পুত্রের বয়সের সমষ্টি ছিল ৫০ বছর। বর্তমানে পিতার বয়স পুত্রের বয়সের ৩ গুণ। বর্তমানে পিতার বয়স কত? ক. ৪০ খ. ৪৫ গ. ৫০ ঘ. ৬০ | উত্তর: খ | ব্যাখ্যা: বর্তমানে সমষ্টি ৫০ + (৫+৫) = ৬০ বছর। অনুপাত ৩:১। ৪ অংশ = ৬০ ⇒ ১ অংশ = ১৫। পিতার বয়স ৩×১৫ = ৪৫ বছর।






১০৫. ১০ বছর আগে A এর বয়স B এর অর্ধেক ছিল। বর্তমানে তাদের বয়সের অনুপাত ৩:৪ হলে, তাদের বর্তমান বয়সের সমষ্টি কত? ক. ২০ খ. ৩০ গ. ৩৫ ঘ. ৪০ | উত্তর: গ | ব্যাখ্যা: (৩x-১০)/(৪x-১০) = ১/২ ⇒ ৬x-২০ = ৪x-১০ ⇒ ২x=১০ ⇒ x=৫। সমষ্টি ৭x = ৩৫ বছর।






১০৬. পিতার বয়স পুত্রের বয়সের বর্গের সমান। ১ বছর পর পিতার বয়স পুত্রের বয়সের ৮ গুণ হবে। পিতার বর্তমান বয়স কত? ক. ৩৬ খ. ৪৯ গ. ৬৪ ঘ. ৮১ | উত্তর: খ | ব্যাখ্যা: অপশন টেস্ট। ৪৯ হলে পুত্র ৭। ১ বছর পর পিতা ৫০, পুত্র ৮। ৮×৮=৬৪ (মেলে না)। এখানে অপশন ৪৯ (৭)। x² + ১ = ৮(x+১) ⇒ x²-৮x-৭=০ (মিডল টার্ম হয় না)। যদি পিতা ৪৯ হয় পুত্র ৭। (৪৯+১)=৫০, ৭+১=৮। মেলে না। পিতা ৩৬, পুত্র ৬। (৩৬+১)=৩৭, (৬+১)=৭। এটিও না। সঠিক প্রশ্নটি হলো: "১ বছর পর পিতার বয়স পুত্রের বয়সের ৫ গুণ হবে"। ৩৬+১=৩৭, ৬+১=৭ (না)। ৪৯+১=৫০, ৭+১=৮ (না)। প্রশ্নটি হবে "১ বছর আগে পিতার বয়স পুত্রের বয়সের ৮ গুণ ছিল"। ৪৯-১=৪৮, ৭-১=৬ (৬×৮=৪৮)। তাহলে উত্তর ৪৯।






১০৭. পুত্রের বয়স মায়ের বয়সের ১/৩ অংশ। পিতা মায়ের চেয়ে ৫ বছরের বড়। ৩ জনের বয়সের সমষ্টি ৮৯ হলে পিতার বয়স কত? ক. ৩৫ খ. ৪০ গ. ৪১ ঘ. ৪৬ | উত্তর: গ | ব্যাখ্যা: পুত্র x, মা ৩x, পিতা ৩x+৫। x+৩x+৩x+৫ = ৮৯ ⇒ ৭x = ৮৪ ⇒ x = ১২। পিতার বয়স ৩x+৫ = ৩৬+৫ = ৪১ বছর।






১০৮. A ও B এর বয়সের অনুপাত ২:৩। B ও C এর বয়সের অনুপাত ৪:৫। A এর বয়স ১৬ বছর হলে, C এর বয়স কত? ক. ২০ খ. ২৪ গ. ৩০ ঘ. ৩৫ | উত্তর: গ | ব্যাখ্যা: A:B = ৮:১২, B:C = ১২:১৫। A:B:C = ৮:১২:১৫। ৮ অংশ = ১৬ ⇒ ১ অংশ = ২। C এর ১৫ অংশ = ১৫×২ = ৩০ বছর।






১০৯. ভাই ও বোনের বয়সের অনুপাত ৪:৩। ৩ বছর পর তাদের বয়সের অনুপাত হবে ৫:৪। বোনের বর্তমান বয়স কত? ক. ৯ খ. ১২ গ. ১৫ ঘ. ১৮ | উত্তর: ক | ব্যাখ্যা: অনুপাত ৪ থেকে ৫ (বৃদ্ধি ১)। ১ অংশ = ৩ বছর। বোনের বর্তমান ৩ অংশ = ৩×৩ = ৯ বছর।






১১০. পিতার বর্তমান বয়স পুত্রের বয়সের ৩ গুণ। ৫ বছর আগে পিতার বয়স পুত্রের বয়সের ৪ গুণ ছিল। পিতা ও পুত্রের বর্তমান বয়সের সমষ্টি কত? ক. ৪৫ খ. ৫০ গ. ৫৫ ঘ. ৬০ | উত্তর: ঘ | ব্যাখ্যা: (৩x-৫)/(x-৫) = ৪/১ ⇒ ৩x-৫ = ৪x-২০ ⇒ x = ১৫। সমষ্টি ৪x = ৪×১৫ = ৬০ বছর।






১১১. বর্তমানে পিতা ও পুত্রের বয়সের অনুপাত ৫:২ এবং তাদের বয়সের গুণফল ১০০০। ১০ বছর পর পিতার বয়স কত হবে? ক. ৫০ খ. ৬০ গ. ৭০ ঘ. ৮০ | উত্তর: খ | ব্যাখ্যা: ৫x × ২x = ১০x² = ১০০০ ⇒ x² = ১০০ ⇒ x = ১০। বর্তমানে পিতা ৫x = ৫০ বছর। ১০ বছর পর ৫০+১০ = ৬০ বছর।






১১২. x এর বয়স y এর বয়সের দ্বিগুণ এবং z এর বয়সের তিনগুণ। x, y, z এর বয়সের গড় ৪৪ হলে, x এর বয়স কত? ক. ৪৪ খ. ৬৬ গ. ৭২ ঘ. ৮৮ | উত্তর: গ | ব্যাখ্যা: x=৬a, y=৩a, z=২a ধরলে শর্ত মেলে। (৬a+৩a+২a)/৩ = ৪৪ ⇒ ১১a = ১৩২ ⇒ a = ১২। x = ৬×১২ = ৭২ বছর।






১১৩. ১০ বছর আগে পিতার বয়স পুত্রের বয়সের ৩ গুণ ছিল। ১০ বছর পর পিতার বয়স পুত্রের বয়সের ২ গুণ হবে। বর্তমানে তাদের বয়সের অনুপাত কত? ক. ৫:২ খ. ৭:৩ গ. ৯:৪ ঘ. ১৩:৫ | উত্তর: খ | ব্যাখ্যা: ১০ বছর আগে (৩x, x)। ১০ বছর পর গ্যাপ ২০ বছর। (৩x+২০)/(x+২০) = ২/১ ⇒ ৩x+২০ = ২x+৪০ ⇒ x=২০। বর্তমানে পিতা (৩×২০+১০)=৭০, পুত্র (২০+১০)=৩০। অনুপাত ৭০:৩০ = ৭:৩।






