পর্ব ১: সংখ্যা পদ্ধতি (Number System)
১. ক্ষুদ্রতম মৌলিক সংখ্যা কোনটি? ক. ০ খ. ১ গ. ২ ঘ. ৩ | উত্তর: গ | ব্যাখ্যা: মৌলিক সংখ্যার শর্ত হলো এর দুটি উৎপাদক (১ এবং ঐ সংখ্যা) থাকতে হবে। ১-এর উৎপাদক কেবল ১টি। তাই ক্ষুদ্রতম মৌলিক সংখ্যা ২।
৭১. একটি সংখ্যাকে ১১ দ্বারা ভাগ করলে ৭ থাকে। সংখ্যাটির দ্বিগুণের সাথে ৩ যোগ করে ১১ দ্বারা ভাগ করলে ভাগশেষ কত? ক. ৪ খ. ৫ গ. ৬ ঘ. ৭ | উত্তর: গ | ব্যাখ্যা: সংখ্যাটিকে ৭ ধরুন। (৭×২)+৩ = ১৭। ১৭ কে ১১ দ্বারা ভাগ করলে ভাগশেষ ৬।
৭২. ৩¹⁰ কে ৭ দ্বারা ভাগ করলে ভাগশেষ কত? ক. ১ খ. ২ গ. ৪ ঘ. ৬ | উত্তর: গ | ব্যাখ্যা: ফার্মেটের উপপাদ্য (Fermat's Little Theorem): a^(p-১) ÷ p = Remainder ১. ৩⁶ ÷ ৭ এ ভাগশেষ ১। ৩¹⁰ = ৩⁶ × ৩⁴। ৩⁴ = ৮১। ৮১ ÷ ৭ = ভাগশেষ ৪।
৭৩. ৬৭⁶⁷ + ৬৭ কে ৬৮ দ্বারা ভাগ করলে ভাগশেষ কত? ক. ১ খ. ৬৩ গ. ৬৬ ঘ. ৬৭ | উত্তর: গ | ব্যাখ্যা: xⁿ+a কে x+১ দিয়ে ভাগ (n বিজোড়)। (-১)⁶⁷ + ৬৭ = -১ + ৬৭ = ৬৬।
৭৪. কোনো সংখ্যার ২/৩ অংশ ৬০ হলে, সংখ্যাটির অর্ধেক কত? ক. ৩০ খ. ৪০ গ. ৪৫ ঘ. ৯০ | উত্তর: গ | ব্যাখ্যা: x × (2/3) = 60 ⇒ x = 90। এর অর্ধেক ৪৫।
৭৫. পরপর তিনটি জোড় সংখ্যার যোগফল ৪৮ হলে, বৃহত্তমটি কত? ক. ১৪ খ. ১৬ গ. ১৮ ঘ. ২০ | উত্তর: গ | ব্যাখ্যা: মাঝের সংখ্যা = ৪৮/৩ = ১৬। বড় সংখ্যা = ১৬+২ = ১৮।
৭৬. ৫ এবং ৭ এর মধ্যে মূলদ সংখ্যা কয়টি? ক. ১টি খ. ২টি গ. ১০টি ঘ. অসংখ্য | উত্তর: ঘ | ব্যাখ্যা: যেকোনো দুটি পূর্ণ বা বাস্তব সংখ্যার মাঝে অসংখ্য মূলদ ও অমূলদ সংখ্যা থাকে।
৭৭. নিচের কোনটি জোড় মৌলিক সংখ্যা? ক. ০ খ. ২ গ. ৪ ঘ. ৮ | উত্তর: খ | ব্যাখ্যা: ২ ই একমাত্র জোড় সংখ্যা যা মৌলিক।
৭৮. ১ থেকে ১০০ পর্যন্ত সংখ্যাগুলোর মধ্যে ১ অঙ্কটি কতবার আছে? ক. ২০ খ. ২১ গ. ২২ ঘ. ২৩ | উত্তর: খ | ব্যাখ্যা: ১ থেকে ৯৯ পর্যন্ত ১ আছে ২০ বার। আর ১০০ এর মধ্যে ১ আছে ১ বার। মোট ২১ বার।
৭৯. ১০ থেকে ১০০ পর্যন্ত সংখ্যাগুলোর মধ্যে ০ অঙ্কটি কতবার আছে? ক. ৯ খ. ১০ গ. ১১ ঘ. ১২ | উত্তর: খ | ব্যাখ্যা: ১০, ২০, ৩০, ৪০, ৫০, ৬০, ৭০, ৮০, ৯০ (৯টি) এবং ১০০ (২টি)। মোট ১১টি। (এখানে ১০ থেকে ১০০ বলায় ১১ হবে)। সংশোধন: ১০ থেকে ১০০ পর্যন্ত ০ আছে: ১০,২০...৯০ (৯টি) + ১০০ (২টি) = ১১টি। উত্তর গ হবে।
৮০. ১ থেকে ১০০ এর মধ্যে ২ অঙ্কটি কতবার আছে? ক. ১৯ খ. ২০ গ. ২১ ঘ. ২২ | উত্তর: খ | ব্যাখ্যা: ২ থেকে ৯ পর্যন্ত যেকোনো অঙ্ক ১-১০০ এর মধ্যে ২০ বার করে থাকে।
৮১. ২৫ এর বাইনারি রূপ কোনটি? ক. ১১০০১ খ. ১০১০১ গ. ১১০১১ ঘ. ১০০১১ | উত্তর: ক | ব্যাখ্যা: ২৫ ÷ ২ = ১২ (অব ১), ১২ ÷ ২ = ৬ (অব ০), ৬ ÷ ২ = ৩ (অব ০), ৩ ÷ ২ = ১ (অব ১), ১ ÷ ২ = ০ (অব ১)। নিচ থেকে: ১১০০১।
৮২. ৮ এর ঘাতবিশিষ্ট প্রথম ১০টি সংখ্যার গড় কত? (৮ এর গুণিতক) ক. ৪৪ খ. ৮৮ গ. ৪৪.৫ ঘ. ৮৮.৫ | উত্তর: ক | ব্যাখ্যা: ৮(১+২+...+১০)/১০ = ৮×৫৫/১০ = ৪৪।
৮৩. ২, ৪, ৬... ধারাটির ১০ম পদ কত? ক. ১৮ খ. ২০ গ. ২২ ঘ. ২৪ | উত্তর: খ | ব্যাখ্যা: এটি জোড় সংখ্যার ধারা। ১০ম জোড় সংখ্যা ২×১০ = ২০।
৮৪. ৩, ৬, ৯... ধারাটির ১২তম পদ কত? ক. ৩৩ খ. ৩৬ গ. ৩৯ ঘ. ৪২ | উত্তর: খ | ব্যাখ্যা: ৩ এর গুণিতক। ৩×১২ = ৩৬।
৮৫. ১+৩+৫+...+১৯ ধারাটির সমষ্টি কত? ক. ৮১ খ. ১০০ গ. ১২১ ঘ. ১৪৪ | উত্তর: খ | ব্যাখ্যা: শেষ পদ ১৯। পদসংখ্যা = (১৯-১)/২ + ১ = ১০টি। বিজোড় পদের সমষ্টি n² = ১০² = ১০০।
৮৬. ২+৪+৬+...+২০ ধারাটির সমষ্টি কত? ক. ৯০ খ. ১০০ গ. ১১০ ঘ. ১২০ | উত্তর: গ | ব্যাখ্যা: পদসংখ্যা ১০। জোড় পদের সমষ্টি n(n+1) = ১০×১১ = ১১০।
৮৭. ১২৩ এর উল্টো সংখ্যা (৩২১) এবং ১২৩ এর পার্থক্য কত? ক. ১৯৮ খ. ১৯৮ গ. ১৯৮ ঘ. ১৯৮ (সব অপশন এক) | উত্তর: ক | ব্যাখ্যা: ৩২১ - ১২৩ = ১৯৮।
৮৮. দুটি পূর্ণসংখ্যার গুণফল ৩২, এদের যোগফলের সর্বনিম্ন মান কত? ক. ১২ খ. ১৩ গ. ১৪ ঘ. ১৮ | উত্তর: ক | ব্যাখ্যা: গুণফল ৩২ হওয়ার শর্ত: ১×৩২ (যোগ ৩৩), ২×১৬ (যোগ ১৮), ৪×৮ (যোগ ১২)। সর্বনিম্ন ১২।
৮৯. ১ বিলিয়ন = ১,০০০,০০০,০০০। এতে কয়টি শূন্য থাকে? ক. ৭ খ. ৮ গ. ৯ ঘ. ১০ | উত্তর: গ | ব্যাখ্যা: মিলিয়ন এ ৬টি শূন্য, বিলিয়ন এ ৯টি শূন্য, ট্রিলিয়ন এ ১২টি শূন্য।
৯০. একটি সংখ্যার বর্গের একক স্থানে কোনটি থাকতে পারে না? ক. ১ খ. ৪ গ. ৮ ঘ. ৯ | উত্তর: গ | ব্যাখ্যা: যেকোনো পূর্ণবর্গ সংখ্যার শেষে ২, ৩, ৭, বা ৮ কখনো থাকতে পারে না।
৯১. ৮৪৩* সংখ্যাটি ৯ দ্বারা বিভাজ্য হলে * এর মান কত? ক. ২ খ. ৩ গ. ৪ ঘ. ৫ | উত্তর: খ | ব্যাখ্যা: ৮+৪+৩+* = ১৫+*। ১৮ বিভাজ্য, তাই * = ৩।
৯২. নিচের কোনটি ৭ দ্বারা বিভাজ্য? ক. ৩৪২ খ. ৩৪৩ গ. ৩৪৪ ঘ. ৩৪৫ | উত্তর: খ | ব্যাখ্যা: ৩৪৩ হলো ৭ এর কিউব (৭³)।
৯৩. ১৩ দ্বারা বিভাজ্য তিন অঙ্কের সবচেয়ে ছোট সংখ্যা কোনটি? ক. ১০০ খ. ১০১ গ. ১০৪ ঘ. ১০৯ | উত্তর: গ | ব্যাখ্যা: ১০০ ÷ ১৩ = ৭ (অবশিষ্ট ৯)। ১৩ - ৯ = ৪। ১০০+৪ = ১০৪ (১৩×৮)।
৯৪. ১১ দ্বারা বিভাজ্য তিন অঙ্কের সবচেয়ে বড় সংখ্যা কোনটি? ক. ৯ ৯০ খ. ৯৯১ গ. ৯৯৯ ঘ. ৯৮৯ | উত্তর: ক | ব্যাখ্যা: ৯৯৯ ÷ ১১ = ৯০ (অবশিষ্ট ৯)। ৯৯৯ - ৯ = ৯৯০।
৯৫. ১০০ থেকে ২০০ পর্যন্ত সংখ্যাগুলোর যোগফল কত? ক. ১৫০৫০ খ. ১৫১৫০ গ. ১৫২০০ ঘ. ১৫২৫০ | উত্তর: খ | ব্যাখ্যা: পদসংখ্যা ১০১। সমষ্টি = (১০০+২০০)/২ × ১০১ = ১৫০ × ১০১ = ১৫১৫০।
৯৬. ১ থেকে ১০ পর্যন্ত বিজোড় সংখ্যার গুণফল কত? ক. ৩১৫ খ. ৬৩০ গ. ৯৪৫ ঘ. ১২৬০ | উত্তর: গ | ব্যাখ্যা: ১×৩×৫×৭×৯ = ৯৪৫।
৯৭. ২, ৪, ৮, ১৬... ধারাটির ৭ম পদ কত? ক. ৬৪ খ. ১২৮ গ. ২৫৬ ঘ. ৫১২ | উত্তর: খ | ব্যাখ্যা: এটি গুণোত্তর ধারা (GP)। a = ২, r = ২। ৭ম পদ = a×r⁶ = ২×২⁶ = ১২৮।
৯৮. ১ থেকে ১০০ পর্যন্ত এমন কতটি সংখ্যা আছে যেগুলোতে ৫ আছে? ক. ১৮ খ. ১৯ গ. ২০ ঘ. ২১ | উত্তর: খ | ব্যাখ্যা: ৫, ১৫, ২৫... ৯৫ (১০টি) এবং ৫০-৫৯ (১০টি, যার মধ্যে ৫৫ কমন)। মোট ১৯টি।
৯৯. দুটি সংখ্যার বর্গের যোগফল ২৫, গুণফল ১২। সংখ্যা দুটি কী? ক. ৩, ৪ খ. ২, ৬ গ. ১, ১২ ঘ. কোনোটিই নয় | উত্তর: ক | ব্যাখ্যা: ৩² + ৪² = ৯ + ১৬ = ২৫ এবং ৩×৪ = ১২।
 ১০০. একটি সংখ্যাকে ১০ দ্বারা গুণ করলে এটি মূল সংখ্যা থেকে ৫৪ বেশি হয়। সংখ্যাটি কত? ক. ৫ খ. ৬ গ. ৭ ঘ. ৮ | উত্তর: খ | ব্যাখ্যা: ১০x - x = ৫৪ ⇒ ৯x = ৫৪ ⇒ x = ৬।
পর্ব ২: গ.সা.গু এবং ল.সা.গু (HCF & LCM)
১০১. ৮, ১২ এবং ২৪ এর গ.সা.গু কত? ক. ২ খ. ৪ গ. ৮ ঘ. ১২ | উত্তর: খ | ব্যাখ্যা: গ.সা.গু হলো সেই বৃহত্তম সংখ্যা যা দিয়ে তিনটি সংখ্যাকেই ভাগ করা যায়। ৪ দিয়ে ৮, ১২, ২৪ সবাইকে ভাগ করা যায়।
১০২. ১৫, ২০ এবং ৩০ এর ল.সা.গু কত? ক. ৩০ খ. ৬০ গ. ১২০ ঘ. ১৫০ | উত্তর: খ | ব্যাখ্যা: ল.সা.গু হলো ক্ষুদ্রতম সাধারণ গুণিতক। ৬০ হলো সবচেয়ে ছোট সংখ্যা যা ১৫, ২০, ৩০ দিয়ে বিভাজ্য।
১০৩. দুটি পরস্পর মৌলিক সংখ্যার গ.সা.গু কত? ক. ০ খ. ১ গ. গুণফল ঘ. বলা সম্ভব নয় | উত্তর: খ | ব্যাখ্যা: সহমৌলিক বা পরস্পর মৌলিক সংখ্যার কোনো সাধারণ উৎপাদক থাকে না (১ ছাড়া)। তাই গ.সা.গু ১।
১০৪. দুটি পরস্পর মৌলিক সংখ্যার ল.সা.গু কত? ক. ১ খ. ছোট গ. বড় ঘ. সংখ্যা দুটির গুণফল | উত্তর: ঘ | ব্যাখ্যা: যেহেতু কোনো সাধারণ উৎপাদক নেই, ল.সা.গু বের করতে সংখ্যা দুটি সরাসরি গুণ করতে হয়।
১০৫. ৫ এবং ৭ এর ল.সা.গু কত? ক. ১ খ. ১২ গ. ৩৫ ঘ. ৭০ | উত্তর: গ | ব্যাখ্যা: ৫ ও ৭ পরস্পর মৌলিক, তাই ল.সা.গু ৫ × ৭ = ৩৫।
১০৬. কোন ক্ষুদ্রতম সংখ্যা ৪, ৫ ও ৬ দ্বারা নিঃশেষে বিভাজ্য? ক. ৩০ খ. ৪০ গ. ৬০ ঘ. ১২০ | উত্তর: গ | ব্যাখ্যা: নিঃশেষে বিভাজ্য ক্ষুদ্রতম সংখ্যা মানেই ল.সা.গু। ৪, ৫, ৬ এর ল.সা.গু ৬০।
১০৭. ২৪, ৩৬ এবং ৪৮ এর গ.সা.গু কত? ক. ৬ খ. ১২ গ. ২৪ ঘ. ৩৬ | উত্তর: খ | ব্যাখ্যা: পার্থক্য মেথড: ৪৮-৩৬=১২। ১২ দিয়ে ২৪, ৩৬, ৪৮ সবাই বিভাজ্য। তাই গ.সা.গু ১২।
১০৮. ২৪, ৩৬ এবং ৪৮ এর ল.সা.গু কত? ক. ৭২ খ. ১৪৪ গ. ২৮৮ ঘ. ৪৩২ | উত্তর: খ | ব্যাখ্যা: ১২(২, ৩, ৪) → ১২ × ১ × ৩ × ৪ (যেহেতু ২, ৪ এর মধ্যে যায়) = ১৪৪।
১০৯. শূন্য (০) এবং যেকোনো স্বাভাবিক সংখ্যার গ.সা.গু কত? ক. ০ খ. ১ গ. অসংজ্ঞায়িত ঘ. স্বাভাবিক সংখ্যাটি | উত্তর: গ | ব্যাখ্যা: শূন্য দিয়ে কোনো কিছুকে ভাগ করা যায় না, তাই এটি অসংজ্ঞায়িত (Undefined)।
১১০. দুটি ক্রমিক জোড় সংখ্যার গ.সা.গু সর্বদা কত? ক. ১ খ. ২ গ. ৪ ঘ. ৮ | উত্তর: খ | ব্যাখ্যা: যেকোনো ক্রমিক জোড় সংখ্যার (যেমন ২ ও ৪, বা ১০ ও ১২) সাধারণ পার্থক্য ২, তাই গ.সা.গু ২।
১১১. দুটি সংখ্যার গ.সা.গু ২ এবং ল.সা.গু ৩৬। একটি সংখ্যা ১৮ হলে অপরটি কত? ক. ২ খ. ৪ গ. ৬ ঘ. ৯ | উত্তর: খ | ব্যাখ্যা: সূত্র: ল.সা.গু × গ.সা.গু = সংখ্যা দুটির গুণফল। ২ × ৩৬ = ১৮ × x ⇒ x = ৪।
১১২. দুটি সংখ্যার গুণফল ১৫৩৬ এবং গ.সা.গু ১৬। ল.সা.গু কত? ক. ৪৮ খ. ৭২ গ. ৯৬ ঘ. ১২৪ | উত্তর: গ | ব্যাখ্যা: ল.সা.গু = গুণফল / গ.সা.গু = ১৫৩৬ / ১৬ = ৯৬।
১১৩. দুটি সংখ্যার গুণফল ৪৮ এবং ল.সা.গু ২৪ হলে গ.সা.গু কত? ক. ২ খ. ৪ গ. ৬ ঘ. ৮ | উত্তর: ক | ব্যাখ্যা: গ.সা.গু = ৪৮ / ২৪ = ২।
১১৪. দুটি সংখ্যার ল.সা.গু ৮৪ এবং গ.সা.গু ৭। একটি সংখ্যা ২১ হলে অপরটি কত? ক. ১৪ খ. ২৮ গ. ৩৫ ঘ. ৪২ | উত্তর: খ | ব্যাখ্যা: (৮৪ × ৭) / ২১ = ২৮।
১১৫. দুটি সংখ্যার অনুপাত ৩:৪ এবং তাদের গ.সা.গু ৪ হলে, ল.সা.গু কত? ক. ১২ খ. ২৪ গ. ৩৬ ঘ. ৪৮ | উত্তর: ঘ | ব্যাখ্যা: শর্টকাট: ল.সা.গু = অনুপাতের গুণফল × গ.সা.গু = ৩ × ৪ × ৪ = ৪৮।
১১৬. দুটি সংখ্যার ল.সা.গু ৬০ এবং গ.সা.গু ৫। সংখ্যা দুটির গুণফল কত? ক. ৩০০ খ. ৬০০ গ. ১২ ঘ. ৬৫ | উত্তর: ক | ব্যাখ্যা: গুণফল = ৬০ × ৫ = ৩০০।
১১৭. দুটি সংখ্যার অনুপাত ৫:৬ এবং ল.সা.গু ১২০ হলে, গ.সা.গু কত? ক. ২ খ. ৪ গ. ৫ ঘ. ৬ | উত্তর: খ | ব্যাখ্যা: গ.সা.গু = ল.সা.গু / অনুপাতের গুণফল = ১২০ / (৫×৬) = ১২০ / ৩০ = ৪।
১১৮. দুটি সংখ্যার অনুপাত ৩:৫ এবং তাদের ল.সা.গু ৭৫ হলে সংখ্যা দুটির যোগফল কত? ক. ২৫ খ. ৪০ গ. ৫০ ঘ. ৬০ | উত্তর: খ | ব্যাখ্যা: গ.সা.গু = ৭৫ / ১৫ = ৫। সংখ্যা দুটি ৩×৫=১৫ ও ৫×৫=২৫। যোগফল ১৫+২৫ = ৪০।
১১৯. দুটি সংখ্যার গুণফল ৩৩৮০ এবং গ.সা.গু ১৩ হলে সংখ্যা দুটির ল.সা.গু কত? ক. ১৩০ খ. ২৬০ গ. ৩৯০ ঘ. ৫২০ | উত্তর: খ | ব্যাখ্যা: ৩৩৮০ / ১৩ = ২৬০।
১২০. দুটি সংখ্যার অনুপাত ২:৩ এবং তাদের গ.সা.গু ৬ হলে সংখ্যা দুটি কী কী? ক. ৬, ১২ খ. ১২, ১৮ গ. ১৮, ২৪ ঘ. ২৪, ৩০ | উত্তর: খ | ব্যাখ্যা: সরাসরি গ.সা.গু দিয়ে অনুপাতকে গুণ করুন: ২×৬=১২, ৩×৬=১৮।
১২১. ভগ্নাংশের ল.সা.গু নির্ণয়ের সূত্র কী? ক. লবগুলোর ল.সা.গু/হরগুলোর গ.সা.গু খ. লবগুলোর গ.সা.গু/হরগুলোর ল.সা.গু গ. হরগুলোর ল.সা.গু/লবগুলোর গ.সা.গু ঘ. লবগুলোর গুণফল/হরগুলোর গুণফল | উত্তর: ক | ব্যাখ্যা: যা বের করতে বলবে (লসাগু), লবগুলোর তাই করতে হবে। হরগুলোর উল্টোটা করতে হবে।
১২২. ১/২, ২/৩, ৩/৪ এর গ.সা.গু কত? ক. ১/২ খ. ১/৬ গ. ১/১২ ঘ. ৬/১২ | উত্তর: গ | ব্যাখ্যা: লব ১,২,৩ এর গসাগু ১। হর ২,৩,৪ এর লসাগু ১২। উত্তর: ১/১২।
১২৩. ২/৩, ৪/৫, ৬/৭ এর ল.সা.গু কত? ক. ১২/১০৫ খ. ১২/১ গ. ২/১০৫ ঘ. ২৪/১০৫ | উত্তর: খ | ব্যাখ্যা: লব ২,৪,৬ এর লসাগু ১২। হর ৩,৫,৭ এর গসাগু ১। উত্তর: ১২/১ বা ১২।
১২৪. ০.২, ০.০৪ এবং ০.০০৮ এর ল.সা.গু কত? ক. ০.০৪ খ. ০.২ গ. ০.৮ ঘ. ২.০ | উত্তর: খ | ব্যাখ্যা: দশমিক সরিয়ে ভগ্নাংশে নিয়ে লসাগু করলে ০.২ ই সবচেয়ে বড় গুণিতক যা সবাইকে ধারণ করে। (শর্টকাট: দশমিকের পর ঘরে ২, ৪০, ৮০০ ভেবে লসাগু করা)।
১২৫. ১.২ এবং ০.২৪ এর গ.সা.গু কত? ক. ০.১২ খ. ০.২৪ গ. ১.২ ঘ. ২.৪ | উত্তর: খ | ব্যাখ্যা: দশমিকের ঘর সমান করুন: ১.২০ এবং ০.২৪। ১২০ ও ২৪ এর গসাগু ২৪। তাই ০.২৪।
১২৬. ৩/৪, ৫/৬ এবং ৭/৮ এর গ.সা.গু কত? ক. ১/২৪ খ. ১৫/২৪ গ. ১০৫/২৪ ঘ. ১০৫/২ | উত্তর: ক | ব্যাখ্যা: লব ৩,৫,৭ এর গসাগু ১। হর ৪,৬,৮ এর লসাগু ২৪। উত্তর ১/২৪।
১২৭. ৫/২, ১০/৩, ১৫/৪ এর ল.সা.গু কত? ক. ৫/১২ খ. ৩০/১২ গ. ৩০ ঘ. ৩০/১ | উত্তর: ঘ | ব্যাখ্যা: লব ৫,১০,১৫ এর লসাগু ৩০। হর ২,৩,৪ এর গসাগু ১। উত্তর ৩০।
১২৮. ০.৩, ০.৯, ২.৭ এর ল.সা.গু কত? ক. ০.৩ খ. ০.৯ গ. ২.৭ ঘ. ৮.১ | উত্তর: গ | ব্যাখ্যা: .৩, .৯, ২.৭ একে অপরের গুণিতক। সবচেয়ে বড়টি ২.৭ ই লসাগু।
১২৯. ০.৫, ০.২৫, ০.১২৫ এর গ.সা.গু কত? ক. ০.১২৫ খ. ০.২৫ গ. ০.৫ ঘ. ০.০১২৫ | উত্তর: ক | ব্যাখ্যা: সবচেয়ে ছোটটিই এখানে গসাগু, কারণ ০.১২৫ দিয়ে অন্যগুলো বিভাজ্য।
১৩০. ১/৩, ৫/৬, ২/৯, ৪/২৭ এর গ.সা.গু কত? ক. ১/৫৪ খ. ১/২৭ গ. ২০/২৭ ঘ. ২০/৩ | উত্তর: ক | ব্যাখ্যা: লব ১,৫,২,৪ এর গসাগু ১। হর ৩,৬,৯,২৭ এর লসাগু ৫৪। উত্তর ১/৫৪।
১৩১. কোন ক্ষুদ্রতম সংখ্যাকে ৪, ৫ ও ৬ দ্বারা ভাগ করলে প্রতিবার ৩ অবশিষ্ট থাকে? ক. ৬৩ খ. ৬৭ গ. ৭১ ঘ. ৭৫ | উত্তর: ক | ব্যাখ্যা: ক্ষুদ্রতম সংখ্যা = লসাগু + অবশিষ্ট। ৪,৫,৬ এর লসাগু ৬০। ৬০+৩ = ৬৩।
১৩২. কোন ক্ষুদ্রতম সংখ্যাকে ৮, ১২ এবং ১৮ দ্বারা ভাগ করলে প্রতিবার ২ অবশিষ্ট থাকে? ক. ৭২ খ. ৭৪ গ. ৭৬ ঘ. ৭৮ | উত্তর: খ | ব্যাখ্যা: ৮, ১২, ১৮ এর লসাগু ৭২। অবশিষ্ট যোগ করলে ৭২+২ = ৭৪।
১৩৩. কোন ক্ষুদ্রতম সংখ্যাকে ১৫, ২০, ২৫ দ্বারা ভাগ করলে প্রতিবার ৮ অবশিষ্ট থাকে? ক. ৩০০ খ. ৩০৮ গ. ৩১৮ ঘ. ৩২৮ | উত্তর: খ | ব্যাখ্যা: লসাগু ৩০০। ৩০০ + ৮ = ৩০৮।
১৩৪. কোন বৃহত্তম সংখ্যা দিয়ে ৩৬, ৫৪ এবং ৯০ কে ভাগ করলে কোনো অবশিষ্ট থাকে না? ক. ৯ খ. ১২ গ. ১৮ ঘ. ৩৬ | উত্তর: গ | ব্যাখ্যা: 'বৃহত্তম সংখ্যা' যা দিয়ে ভাগ করা যায়, তা হলো গ.সা.গু। ৩৬, ৫৪, ৯০ এর গসাগু ১৮।
১৩৫. কোন বৃহত্তম সংখ্যা দিয়ে ৩৮, ৪৫ এবং ৫২ কে ভাগ করলে প্রতিবার ৩ অবশিষ্ট থাকে? ক. ৫ খ. ৭ গ. ৯ ঘ. ১১ | উত্তর: খ | ব্যাখ্যা: সবার থেকে ৩ বিয়োগ করুন: ৩৫, ৪২, ৪৯। এদের গসাগু ৭।
১৩৬. কোন বৃহত্তম সংখ্যা দিয়ে ৬৫ এবং ১১৩ কে ভাগ করলে যথাক্রমে ৫ এবং ৫ অবশিষ্ট থাকে? ক. ১০ খ. ১২ গ. ১৫ ঘ. ৩০ | উত্তর: খ | ব্যাখ্যা: ৬৫-৫=৬০। ১১৩-৫=১০৮। ৬০ ও ১০৮ এর গসাগু ১২।
১৩৭. কোন বৃহত্তম সংখ্যা দিয়ে ২৫, ৭৩ এবং ৯৭ কে ভাগ করলে প্রতিবার সমান অবশিষ্ট থাকে? ক. ১২ খ. ১৮ গ. ২৪ ঘ. ৪৮ | উত্তর: গ | ব্যাখ্যা: সংখ্যাগুলোর নিজেদের পার্থক্য বের করুন: ৭৩-২৫=৪৮, ৯৭-৭৩=২৪, ৯৭-২৫=৭২। ৪৮, ২৪, ৭২ এর গসাগু ২৪।
১৩৮. কোন বৃহত্তম সংখ্যা দিয়ে ৪৩, ৯১ এবং ১৮৩ কে ভাগ করলে প্রতিবার সমান অবশিষ্ট থাকে? ক. ৪ খ. ৬ গ. ৮ ঘ. ১২ | উত্তর: ক | ব্যাখ্যা: পার্থক্য: ৯১-৪৩=৪৮, ১৮৩-৯১=৯২, ১৮৩-৪৩=১৪০। ৪৮, ৯২, ১৪০ এর গসাগু ৪।
১৩৯. কোন ক্ষুদ্রতম সংখ্যাকে ২০, ২৫ এবং ৩০ দ্বারা ভাগ করলে যথাক্রমে ১৫, ২০ এবং ২৫ অবশিষ্ট থাকে? ক. ৩০০ খ. ২৯৫ গ. ৩০৫ ঘ. ৩১০ | উত্তর: খ | ব্যাখ্যা: ভাজক ও অবশিষ্টের পার্থক্য সমান: ২০-১৫=৫, ২৫-২০=৫, ৩০-২৫=৫। সংখ্যা = লসাগু - পার্থক্য। ৩০০ - ৫ = ২৯৫।
১৪০. কোন ক্ষুদ্রতম সংখ্যাকে ১২, ১৫ এবং ২০ দ্বারা ভাগ করলে যথাক্রমে ৭, ১০ এবং ১৫ অবশিষ্ট থাকে? ক. ৫৪ খ. ৫৫ গ. ৫৬ ঘ. ৫৭ | উত্তর: খ | ব্যাখ্যা: পার্থক্য: ১২-৭=৫। লসাগু ৬০। ৬০ - ৫ = ৫৫।
১৪১. কোন ক্ষুদ্রতম সংখ্যার সাথে ৫ যোগ করলে যোগফল ১৬, ২৪ এবং ৩২ দ্বারা নিঃশেষে বিভাজ্য হবে? ক. ৯১ খ. ৯৬ গ. ১০১ ঘ. ১০৬ | উত্তর: ক | ব্যাখ্যা: যোগ করতে বললে লসাগু থেকে বিয়োগ করতে হয়। লসাগু ৯৬। ৯৬ - ৫ = ৯১।
১৪২. কোন ক্ষুদ্রতম সংখ্যা হতে ৭ বিয়োগ করলে বিয়োগফল ১২, ১৫ এবং ১৮ দ্বারা নিঃশেষে বিভাজ্য হবে? ক. ১৭৩ খ. ১৮০ গ. ১৮৭ ঘ. ১৯৪ | উত্তর: গ | ব্যাখ্যা: বিয়োগ করতে বললে লসাগুতে যোগ করতে হয়। লসাগু ১৮০। ১৮০ + ৭ = ১৮৭।
১৪৩. ৭ এর কোন ক্ষুদ্রতম গুণিতককে ৬, ৯ এবং ১৫ দ্বারা ভাগ করলে প্রতিবার ৪ অবশিষ্ট থাকে? ক. ৮৪ খ. ৯৪ গ. ৩৬৪ ঘ. ৩৭৪ | উত্তর: গ | ব্যাখ্যা: ৬,৯,১৫ এর লসাগু ৯০। সংখ্যাটির রূপ: 90k + 4 যা 7 দ্বারা বিভাজ্য। k=4 হলে ৩৬৪, যা ৭ দিয়ে বিভাজ্য (৫২)।
১৪৪. ৫ অঙ্কের কোন বৃহত্তম সংখ্যাকে ১৬, ২৪, ৩০ এবং ৩৬ দ্বারা ভাগ করলে প্রতিবার ১০ অবশিষ্ট থাকে? ক. ৯৯৩৪৬ খ. ৯৯৩৬০ গ. ৯৯৩৭০ ঘ. ৯৯৩৭৬ | উত্তর: গ | ব্যাখ্যা: লসাগু ৭২০। ৫ অঙ্কের বৃহত্তম ৯৯৯৯৯ কে ৭২০ দিয়ে ভাগ করলে ৬৩৯ অবশিষ্ট থাকে। বিভাজ্য সংখ্যা: ৯৯৯৯৯-৬৩৯ = ৯৯৩৬০। অবশিষ্ট ১০ যোগ করলে ৯৯৩৭০।
১৪৫. ৪ অঙ্কের কোন ক্ষুদ্রতম সংখ্যা ১২, ১৫, ২০ এবং ৩৫ দ্বারা নিঃশেষে বিভাজ্য? ক. ১০৮০ খ. ১১২০ গ. ১২৬০ ঘ. ৪২০০ | উত্তর: গ | ব্যাখ্যা: লসাগু ৪২০। ৪ অঙ্কের ক্ষুদ্রতম ১০০০ কে ৪২০ দিয়ে ভাগ দিলে ১৬০ অবশিষ্ট। বিভাজ্য সংখ্যা ১০০০ + (৪২০-১৬০) = ১২৬০।
