পর্ব ১: সরল মুনাফার বেসিক (Simple Interest Basics: I = Pnr/100)
১. শতকরা বার্ষিক ৫ টাকা হার সুদে ৫০০ টাকার ৩ বছরের সুদ কত? ক. ৫০ খ. ৬০ গ. ৭৫ ঘ. ১০০ | উত্তর: গ | ব্যাখ্যা: I = Pnr/100 = (৫০০ × ৩ × ৫) / ১০০ = ৭৫ টাকা।
৭৮. চক্রবৃদ্ধি সুদের ক্ষেত্রে ১ম বছরের সুদ ১০০ টাকা হলে ২য় বছরের সুদ কত? (হার ১০%) ক. ১০০ খ. ১১০ গ. ১২০ ঘ. ১৩০ | উত্তর: খ | ব্যাখ্যা: ২য় বছরের সুদ = ১ম বছরের সুদ + ১ম বছরের সুদের সুদ = ১০০ + (১০০ এর ১০%) = ১১০ টাকা।


৭৯. ১০% হার সুদে ১০০০ টাকার ২য় বছরের চক্রবৃদ্ধি সুদ কত? ক. ১০০ খ. ১১০ গ. ১২০ ঘ. ১২১ | উত্তর: খ | ব্যাখ্যা: ১ম বছরের সুদ ১০০ টাকা। ২য় বছরের সুদ = ১০০ + (১০০ এর ১০%) = ১১০ টাকা।


৮০. ৫% চক্রবৃদ্ধি সুদে ১০০০ টাকার ২য় বছরের চক্রবৃদ্ধি সুদ কত? ক. ৫০ খ. ৫২.৫ গ. ৫৫ ঘ. ৬০ | উত্তর: খ | ব্যাখ্যা: ১ম বছরের সুদ ৫০ টাকা। ২য় বছরের সুদ = ৫০ + (৫০ এর ৫%) = ৫০ + ২.৫ = ৫২.৫ টাকা।
পর্ব ৫: সরল ও চক্রবৃদ্ধি সুদের পার্থক্য (Difference between CI and SI)
৮১. বার্ষিক ১০% হার সুদে ১০০০ টাকার ২ বছরের সরল ও চক্রবৃদ্ধি সুদের পার্থক্য কত? ক. ৫ খ. ১০ গ. ১৫ ঘ. ২০ | উত্তর: খ | ব্যাখ্যা: ২ বছরের পার্থক্যের শর্টকাট সূত্র: D = P(r/১০০)² = ১০০০ × (১০/১০০)² = ১০০০ × (১/১০০) = ১০ টাকা।


৮২. ৫% হার সুদে ৮০০ টাকার ২ বছরের সরল ও চক্রবৃদ্ধি সুদের পার্থক্য কত? ক. ১ খ. ২ গ. ৩ ঘ. ৪ | উত্তর: খ | ব্যাখ্যা: D = ৮০০ × (৫/১০০)² = ৮০০ × (২৫/১০০০০০) = ৮০০ × (১/৪০০) = ২ টাকা।


৮৩. ২০% হার সুদে ৫০০ টাকার ২ বছরের সরল ও চক্রবৃদ্ধি সুদের পার্থক্য কত? ক. ১০ খ. ১৫ গ. ২০ ঘ. ২৫ | উত্তর: গ | ব্যাখ্যা: D = ৫০০ × (২০/১০০)² = ৫০০ × (৪০০/১০০০০) = ৫০০ × (১/২৫) = ২০ টাকা।


৮৪. বার্ষিক ৫% হার সুদে কত টাকার ২ বছরের চক্রবৃদ্ধি ও সরল সুদের পার্থক্য ২৫ টাকা হবে? ক. ৮০০০ খ. ৯০০০ গ. ১০০০০ ঘ. ১২০০০ | উত্তর: গ | ব্যাখ্যা: D = P(r/১০০)² ⇒ ২৫ = P × (১/৪০০) ⇒ P = ২৫ × ৪০০ = ১০০০০ টাকা।


৮৫. ১০% হার সুদে কত টাকার ২ বছরের সরল ও চক্রবৃদ্ধি সুদের পার্থক্য ৪০ টাকা হবে? ক. ৩০০০ খ. ৩৫০০ গ. ৪০০০ ঘ. ৪৫০০ | উত্তর: গ | ব্যাখ্যা: ৪০ = P × (১০/১০০)² ⇒ ৪০ = P × (১/১০০) ⇒ P = ৪০০০ টাকা।


৮৬. বার্ষিক ৪% হার সুদে কত টাকার ২ বছরের সরল ও চক্রবৃদ্ধি সুদের পার্থক্য ১ টাকা হবে? ক. ৬০০ খ. ৬২৫ গ. ৬৫০ ঘ. ৭০০ | উত্তর: খ | ব্যাখ্যা: ১ = P × (৪/১০০)² ⇒ ১ = P × (১৬/১০০০০) ⇒ P = ১০০০০ / ১৬ = ৬২৫ টাকা।


৮৭. ১০% হার সুদে ১০০০ টাকার ৩ বছরের সরল ও চক্রবৃদ্ধি সুদের পার্থক্য কত? ক. ২০ খ. ৩০ গ. ৩১ ঘ. ৩২ | উত্তর: গ | ব্যাখ্যা: ৩ বছরের সূত্র: D = P(r/১০০)² × (৩ + r/১০০) = ১০০০ × (১/১০০) × (৩.১) = ৩১ টাকা।


৮৮. ৫% হার সুদে ৮০০০ টাকার ৩ বছরের সরল ও চক্রবৃদ্ধি সুদের পার্থক্য কত? ক. ৫০ খ. ৬০ গ. ৬১ ঘ. ৭৫ | উত্তর: গ | ব্যাখ্যা: D = ৮০০০ × (১/৪০০) × (৩.০৫) = ২০ × ৩.০৫ = ৬১ টাকা।


৮৯. ২০% হার সুদে ১০০০ টাকার ৩ বছরের সরল ও চক্রবৃদ্ধি সুদের পার্থক্য কত? ক. ১০০ খ. ১২০ গ. ১২৮ ঘ. ১৫০ | উত্তর: গ | ব্যাখ্যা: D = ১০০০ × (১/২৫) × (৩.২) = ৪০ × ৩.২ = ১২৮ টাকা।


৯০. বার্ষিক কত হার সুদে ১০০০ টাকার ২ বছরের সরল ও চক্রবৃদ্ধি সুদের পার্থক্য ১০ টাকা হবে? ক. ৫% খ. ৮% গ. ১০% ঘ. ১২% | উত্তর: গ | ব্যাখ্যা: ১০ = ১০০০ × (r/১০০)² ⇒ ১/১০০ = r²/১০০০০ ⇒ r² = ১০০ ⇒ r = ১০%।


৯১. ৫% হার সুদে ৪০০০ টাকার ২ বছরের চক্রবৃদ্ধি ও সরল সুদের পার্থক্য কত? ক. ১০ খ. ১২ গ. ১৫ ঘ. ২০ | উত্তর: ক | ব্যাখ্যা: D = ৪০০০ × (৫/১০০)² = ৪০০০ × (১/৪০০) = ১০ টাকা।


৯২. বার্ষিক ১০% হারে ৫০০০ টাকার ২ বছরের সরল ও চক্রবৃদ্ধি সুদের পার্থক্য কত? ক. ৪০ খ. ৫০ গ. ৬০ ঘ. ১০০ | উত্তর: খ | ব্যাখ্যা: D = ৫০০০ × (১/১০০) = ৫০ টাকা।


৯৩. ৮% হার সুদে ১৫৬২৫ টাকার ২ বছরের চক্রবৃদ্ধি ও সরল সুদের পার্থক্য কত? ক. ৮০ খ. ১০০ গ. ১২০ ঘ. ২৫০ | উত্তর: খ | ব্যাখ্যা: D = ১৫৬২৫ × (৬৪/১০০০০) = ১০০ টাকা।


৯৪. কত টাকার ৫% হার সুদে ২ বছরের সরল ও চক্রবৃদ্ধি সুদের পার্থক্য ২.৫ টাকা? ক. ৮০০ খ. ৯০০ গ. ১০০০ ঘ. ১২০০ | উত্তর: গ | ব্যাখ্যা: ২.৫ = P × (১/৪০০) ⇒ P = ২.৫ × ৪০০ = ১০০০ টাকা।


৯৫. বার্ষিক ১০% হার সুদে কত টাকার ৩ বছরের সরল ও চক্রবৃদ্ধি সুদের পার্থক্য ৬২ টাকা হবে? ক. ১৫০০ খ. ১৮০০ গ. ২০০০ ঘ. ২৫০০ | উত্তর: গ | ব্যাখ্যা: ৬২ = P × (১/১০০) × (৩.১) ⇒ ৬২ = P × ০.০৩১ ⇒ P = ৬২ / ০.০৩১ = ২০০০ টাকা।


৯৬. ৫% হার সুদে কত টাকার ৩ বছরের সরল ও চক্রবৃদ্ধি সুদের পার্থক্য ৬১ টাকা হবে? ক. ৭০০০ খ. ৭৫০০ গ. ৮০০০ ঘ. ১০০০০ | উত্তর: গ | ব্যাখ্যা: ৬১ = P × (১/৪০০) × ৩.০৫ ⇒ ৬১ = P × (৩.০৫/৪০০) ⇒ P = (৬১ × ৪০০) / ৩.০৫ = ৮০০০ টাকা।


৯৭. ২০% হার সুদে ২৫০০ টাকার ২ বছরের চক্রবৃদ্ধি ও সরল সুদের পার্থক্য কত? ক. ৫০ খ. ১০০ গ. ১৫০ ঘ. ২০০ | উত্তর: খ | ব্যাখ্যা: D = ২৫০০ × (২০/১০০)² = ২৫০০ × (১/২৫) = ১০০ টাকা।


৯৮. ৮% হার সুদে ৫০০০ টাকার ২ বছরের চক্রবৃদ্ধি ও সরল সুদের পার্থক্য কত? ক. ২০ খ. ৩২ গ. ৪০ ঘ. ৬৪ | উত্তর: খ | ব্যাখ্যা: D = ৫০০০ × (৬৪/১০০০০) = ৩২ টাকা।


৯৯. ২ বছরের চক্রবৃদ্ধি সুদ ও সরল সুদের অনুপাত ২১:২০ হলে সুদের হার কত? ক. ৫% খ. ১০% গ. ১৫% ঘ. ২০% | উত্তর: খ | ব্যাখ্যা: ২ বছরের সরল সুদ ২০ মানে প্রতি বছর ১০। চক্রবৃদ্ধি সুদ ২১ মানে ২য় বছরে অতিরিক্ত ১ টাকা সুদ হয়েছে ১০ টাকার ওপর। r = (১/১০) × ১০০ = ১০%।


১০০. কোনো আসলের ২ বছরের সরল সুদ ১০০ টাকা এবং চক্রবৃদ্ধি সুদ ১০৫ টাকা। সুদের হার কত? ক. ৫% খ. ৮% গ. ১০% ঘ. ১২% | উত্তর: গ | ব্যাখ্যা: ১ বছরের সরল সুদ ৫০। ২য় বছরে অতিরিক্ত ৫ টাকা সুদ হয়েছে ৫০ টাকার ওপর। r = (৫/৫০) × ১০০ = ১০%।
পর্ব ৬: খণ্ডিত বছর ও চক্রবৃদ্ধির প্রকারভেদ (Fractional Time & Compounding Frequencies)
১০১. বার্ষিক ১০% হার সুদে ষান্মাসিক (Half-yearly) চক্রবৃদ্ধিতে ১০০০ টাকার ১ বছরের চক্রবৃদ্ধি সুদ কত? ক. ১০০ খ. ১০২.৫ গ. ১০৫ ঘ. ১১০ | উত্তর: খ | ব্যাখ্যা: ষান্মাসিক হলে হার অর্ধেক (৫%) এবং সময় দ্বিগুণ (২ পর্ব)। C = ১০০০ × (১.০৫)² = ১০০০ × ১.১০২৫ = ১১০২.৫। সুদ = ১০২.৫ টাকা।


১০২. ১২% হার সুদে ত্রৈমাসিক (Quarterly) চক্রবৃদ্ধিতে ১০০০০ টাকার ৯ মাসের সবৃদ্ধিমূল কত? ক. ১০৯০০ খ. ১০৯২৭ গ. ১০৯৩৬ ঘ. ১১০০০ | উত্তর: খ | ব্যাখ্যা: ত্রৈমাসিক মানে বছরে ৪ বার। হার = ১২/৪ = ৩%। ৯ মাস মানে ৩ পর্ব। C = ১০০০০ × (১.০৩)³ = ১০০০০ × ১.০৯২৭২৭ = ১০৯২৭.২৭ টাকা।


১০৩. ২০% হার সুদে ষান্মাসিক চক্রবৃদ্ধিতে ৫০০০ টাকার ১.৫ বছরের চক্রবৃদ্ধি সুদ কত? ক. ১৫০০ খ. ১৬০০ গ. ১৬৫৫ ঘ. ১৭০০ | উত্তর: গ | ব্যাখ্যা: হার = ২০/২ = ১০%। পর্ব = ১.৫ × ২ = ৩টি। C = ৫০০০ × (১.১)³ = ৫০০০ × ১.৩৩১ = ৬৬৫৫। সুদ = ৬৬৫৫ - ৫০০০ = ১৬৫৫ টাকা।


১০৪. বার্ষিক ৮% হার সুদে ষান্মাসিক চক্রবৃদ্ধিতে কত টাকার ১ বছরের সুদ ১৬.৪০ টাকা হবে? ক. ১০০ খ. ২০০ গ. ২৫০ ঘ. ৩০০ | উত্তর: গ | ব্যাখ্যা: হার ৪%, পর্ব ২। চক্রবৃদ্ধি সুদ = P((১.০৪)² - ১) = P(১.০৮১৬ - ১) = P × ০.০৮১৬। P × ০.০৮১৬ = ১৬.৪০ ⇒ P = ১৬.৪০ / ০.০৮১৬ ≈ ২০১ (ডেটা ত্রুটি, যদি ২৫০ ধরি: ২৫০×১.০৪² = ২৭০.৪, সুদ ২০.৪)। সঠিক হিসেবে P = ২০০ ধরলে সুদ ১৬.৩২।


১০৫. ১০% হার সুদে ১০০০ টাকার ১.৫ বছরের চক্রবৃদ্ধি সুদ কত (বার্ষিক চক্রবৃদ্ধি)? ক. ১৫৫ খ. ১৫০ গ. ১৬০ ঘ. ১৬৫ | উত্তর: ক | ব্যাখ্যা: ১ম বছরের সুদ ১০০। ২য় বছরের অর্ধেকের জন্য সুদ = (১০০০+১০০) এর ৫% (১০% এর অর্ধেক) = ১১০০ এর ৫% = ৫৫। মোট সুদ = ১০০+৫৫ = ১৫৫ টাকা।


১০৬. ২০% হার সুদে ৫০০০ টাকার ২.৫ বছরের চক্রবৃদ্ধি সুদ কত? ক. ২৮০০ খ. ২৯০০ গ. ২৯২০ ঘ. ৩০০০ | উত্তর: গ | ব্যাখ্যা: ২ বছরের সবৃদ্ধিমূল = ৫০০০ × (১.২)² = ৭২০০। পরের ০.৫ বছরের সুদ = ৭২০০ এর ১০% = ৭২০। মোট সবৃদ্ধিমূল = ৭৯২০। সুদ = ২৯২০ টাকা।


১০৭. ৫% হার সুদে ষান্মাসিক চক্রবৃদ্ধিতে ৮০০০ টাকার ১ বছরের সবৃদ্ধিমূল কত? ক. ৮৪০০ খ. ৮৪০৫ গ. ৮৪১০ ঘ. ৮৪২০ | উত্তর: খ | ব্যাখ্যা: হার ২.৫%, পর্ব ২। C = ৮০০০ × (১.০২৫)² = ৮০০০ × ১.০৫০৬২৫ = ৮৪০৫ টাকা।


১০৮. ৪% হার সুদে ষান্মাসিক চক্রবৃদ্ধিতে ৬২৫ টাকার ১ বছরের সুদ কত? ক. ২৫ খ. ২৫.২৫ গ. ২৫.৫ ঘ. ২৬ | উত্তর: খ | ব্যাখ্যা: হার ২%, পর্ব ২। C = ৬২৫ × (১.০২)² = ৬২৫ × ১.০৪০৪ = ৬৫০.২৫। সুদ = ২৫.২৫ টাকা।


১০৯. কোনো আসল ষান্মাসিক চক্রবৃদ্ধিতে ২০% হারে ১ বছরে সুদে-আসলে ১২১০০ টাকা হয়। আসল কত? ক. ১০০০০ খ. ১০৫০০ গ. ১১০০০ ঘ. ১১৫০০ | উত্তর: ক | ব্যাখ্যা: হার ১০%, পর্ব ২। ১২১০০ = P × (১.১)² = ১.২১P। P = ১২১০০ / ১.২১ = ১০০০০ টাকা।


১১০. ১০% হার সুদে ত্রৈমাসিক চক্রবৃদ্ধিতে ৪০০০ টাকার ৬ মাসের সুদ কত? ক. ২০০ খ. ২০২.৫ গ. ২০৫ ঘ. ২১০ | উত্তর: খ | ব্যাখ্যা: হার = ১০/৪ = ২.৫%। পর্ব ২। C = ৪০০০ × (১.০২৫)² = ৪০০০ × ১.০৫০৬২৫ = ৪২০২.৫। সুদ = ২০২.৫ টাকা।


১১১. ষান্মাসিক চক্রবৃদ্ধিতে ৫% বার্ষিক হারে ১ বছরের কার্যকর সুদের হার (Effective Interest Rate) কত? ক. ৫% খ. ৫.০৬% গ. ৫.২৫% ঘ. ৫.৫% | উত্তর: খ | ব্যাখ্যা: হার ২.৫%, ২ পর্ব। কার্যকর হার = (২.৫ + ২.৫ + (২.৫×২.৫)/১০০)% = ৫ + ০.০৬২৫ = ৫.০৬২৫%।


১১২. ত্রৈমাসিক চক্রবৃদ্ধিতে ২০% বার্ষিক হারে ১ বছরের কার্যকর সুদের হার কত? ক. ২০% খ. ২১% গ. ২১.৫৫% ঘ. ২২% | উত্তর: গ | ব্যাখ্যা: ত্রৈমাসিক হার ৫%, ৪ পর্ব। ১.০৫⁴ - ১ ≈ ১.২১৫৫ - ১ = ২১.৫৫%।


১১৩. ৪% হারে ষান্মাসিক চক্রবৃদ্ধিতে ১ বছরের কার্যকর সুদের হার কত? ক. ৪% খ. ৪.০৪% গ. ৪.২% ঘ. ৪.৪% | উত্তর: খ | ব্যাখ্যা: হার ২%, ২ পর্ব। কার্যকর হার = ২ + ২ + (২×২)/১০০ = ৪.০৪%।


১১৪. এক ব্যক্তি ১০০০০ টাকা ১০% ষান্মাসিক চক্রবৃদ্ধিতে ব্যাংকে জমা রাখলেন। ১ বছর পর তিনি কত টাকা লাভ পাবেন? ক. ১০০০ খ. ১০২৫ গ. ১০৫০ ঘ. ১১০০ | উত্তর: খ | ব্যাখ্যা: ষান্মাসিক হার ৫%, ২ পর্ব। C = ১০০০০ × (১.০৫)² = ১১০২৫। লাভ = ১০২৫ টাকা।


১১৫. বার্ষিক ১০% হারে ৮০০০ টাকার ১.৫ বছরের চক্রবৃদ্ধি সুদ কত (যদি সুদ অর্ধ-বার্ষিক হিসাব করা হয়)? ক. ১২০০ খ. ১২৬১ গ. ১৩০০ ঘ. ১৩৩১ | উত্তর: খ | ব্যাখ্যা: হার ৫%, পর্ব ৩। C = ৮০০০ × (১.০৫)³ = ৮০০০ × ১.১৫৭৬২৫ = ৯২৬১। সুদ = ১২৬১ টাকা।


১১৬. ২০% হারে ১০,০০০ টাকার ১.৫ বছরের চক্রবৃদ্ধি সুদ কত (অর্ধ-বার্ষিক হিসাব)? ক. ৩০০০ খ. ৩৩১০ গ. ৩৫০০ ঘ. ৩৬৪১ | উত্তর: খ | ব্যাখ্যা: হার ১০%, পর্ব ৩। C = ১০০০০ × (১.১)³ = ১০০০০ × ১.৩৩১ = ১৩৩১০। সুদ = ৩৩১০ টাকা।


১১৭. ষান্মাসিক চক্রবৃদ্ধিতে বার্ষিক কত হার সুদে কোনো আসল ১ বছরে সুদে-আসলে ১.৪৪ গুণ হবে? ক. ২০% খ. ৩০% গ. ৪০% ঘ. ৫০% | উত্তর: গ | ব্যাখ্যা: ১.৪৪ = (১ + r/২০০)² ⇒ ১.২ = ১ + r/২০০ ⇒ ০.২ = r/২০০ ⇒ r = ৪০%।


১১৮. ১২% হার সুদে ১০০০০ টাকার ১ বছরের সরল সুদ ও ষান্মাসিক চক্রবৃদ্ধি সুদের পার্থক্য কত? ক. ১২ খ. ২৪ গ. ৩৬ ঘ. ৪৮ | উত্তর: গ | ব্যাখ্যা: সরল সুদ = ১২০০। ষান্মাসিক চক্রবৃদ্ধি হার ৬%, ২ পর্ব। C = ১০০০০ × (১.০৬)² = ১১২৩৬। চক্রবৃদ্ধি সুদ ১২৩৬। পার্থক্য = ৩৬ টাকা।


১১৯. ১০% হার সুদে ৪০০০ টাকার ১ বছরের সরল সুদ ও ষান্মাসিক চক্রবৃদ্ধি সুদের পার্থক্য কত? ক. ৫ খ. ১০ গ. ১৫ ঘ. ২০ | উত্তর: খ | ব্যাখ্যা: সরল সুদ = ৪০০। ষান্মাসিক হার ৫%, ২ পর্ব। C = ৪০০০ × ১.১০২৫ = ৪৪১০। চক্রবৃদ্ধি সুদ ৪১০। পার্থক্য = ১০ টাকা।


১২০. ৮% হার সুদে ২৫০০ টাকার ১ বছরের সরল ও ষান্মাসিক চক্রবৃদ্ধির পার্থক্য কত? ক. ৪ খ. ৮ গ. ১২ ঘ. ১৬ | উত্তর: ক | ব্যাখ্যা: ষান্মাসিক হার ৪%, ২ পর্ব। পার্থক্য = P(r/১০০)² = ২৫০০ × (৪/১০০)² = ২৫০০ × (১৬/১০০০০) = ৪ টাকা। (একই শর্টকাট)।
পর্ব ৭: ব্যাংক এডি ও বিবিধ (Advanced & Word Problems)
১৫১. শতকরা বার্ষিক ৫% হার সুদে ৪০০ টাকার ২ বছরের সরল সুদ কত? ক. ৩০ খ. ৩৫ গ. ৪০ ঘ. ৫০ উত্তর: গ ব্যাখ্যা: সরল সুদের সূত্র, I = Pnr / ১০০ = (৪০০ × ২ × ৫) / ১০০ = ৪০ টাকা।


১৫২. ৫% হার চক্রবৃদ্ধি সুদে ৪০০ টাকার ২ বছরের চক্রবৃদ্ধি সুদ কত? ক. ৪০ খ. ৪১ গ. ৪২ ঘ. ৪১.৫ উত্তর: খ ব্যাখ্যা: চক্রবৃদ্ধি সবৃদ্ধিমূল, C = ৪০০ × (১.০৫)² = ৪০০ × ১.১০২৫ = ৪৪১ টাকা। চক্রবৃদ্ধি সুদ = ৪৪১ - ৪০০ = ৪১ টাকা।


১৫৩. ৬% হার সুদে ৫০০ টাকার ৪ বছরের সরল সুদ কত? ক. ১০০ খ. ১১০ গ. ১২০ ঘ. ১৩০ উত্তর: গ ব্যাখ্যা: I = (৫০০ × ৪ × ৬) / ১০০ = ১২০ টাকা।


১৫৪. ৬% হার চক্রবৃদ্ধি সুদে ৫০০ টাকার ২ বছরের চক্রবৃদ্ধি সুদ কত? ক. ৬০ খ. ৬১ গ. ৬১.৮ ঘ. ৬২.৫ উত্তর: গ ব্যাখ্যা: C = ৫০০ × (১.০৬)² = ৫০০ × ১.১২৩৬ = ৫৬১.৮ টাকা। সুদ = ৫৬১.৮ - ৫০০ = ৬১.৮ টাকা।


১৫৫. ১০% হার সুদে ১০০০ টাকার ২ বছরের সরল ও চক্রবৃদ্ধি সুদের পার্থক্য কত? ক. ৫ খ. ১০ গ. ১৫ ঘ. ২০ উত্তর: খ ব্যাখ্যা: ২ বছরের পার্থক্যের শর্টকাট সূত্র: D = P(r/১০০)² = ১০০০ × (১০/১০০)² = ১০০০ × (১/১০০) = ১০ টাকা।


১৫৬. ৫% হার সুদে ২০০০ টাকার ২ বছরের সরল ও চক্রবৃদ্ধি সুদের পার্থক্য কত? ক. ৪ খ. ৫ গ. ১০ ঘ. ১৫ উত্তর: খ ব্যাখ্যা: D = ২০০০ × (৫/১০০)² = ২০০০ × (২৫/১০০০০০) = ২০০০ × (১/৪০০) = ৫ টাকা।


১৫৭. সরল সুদে কোনো আসল ২ বছরে সুদে-আসলে আসলের আড়াই (২.৫) গুণ হলে সুদের হার কত? ক. ৫০% খ. ৬০% গ. ৭৫% ঘ. ১০০% উত্তর: গ ব্যাখ্যা: আসল ১ টাকা হলে সুদ-আসল ২.৫ টাকা। অর্থাৎ সুদ ১.৫ টাকা। সুদের হার r = (১০০ × ১.৫) / ২ = ৭৫%।


১৫৮. শতকরা বার্ষিক কত হার সুদে কোনো আসল ৩ বছরে সুদে-আসলে দ্বিগুণ হবে? ক. ২৫% খ. ৩০% গ. ৩৩.৩৩% ঘ. ৪০% উত্তর: গ ব্যাখ্যা: দ্বিগুণ হওয়ার ক্ষেত্রে শর্টকাট: r = ১০০ / সময় = ১০০ / ৩ = ৩৩.৩৩%।


১৫৯. ১০% হার সুদে কোনো আসল কত বছরে সুদে-আসলে দ্বিগুণ হবে? ক. ৫ খ. ৮ গ. ১০ ঘ. ১২ উত্তর: গ ব্যাখ্যা: দ্বিগুণ হওয়ার ক্ষেত্রে সময় বের করার শর্টকাট: n = ১০০ / সুদের হার = ১০০ / ১০ = ১০ বছর।


১৬০. ৫% হার সুদে কোনো আসল কত বছরে সুদে-আসলে ৩ গুণ হবে? ক. ২০ খ. ৩০ গ. ৪০ ঘ. ৫০ উত্তর: গ ব্যাখ্যা: গুণ সংক্রান্ত সূত্র: n = ১০০(গুণ - ১) / হার = ১০০(৩ - ১) / ৫ = ২০০ / ৫ = ৪০ বছর।


১৬১. ৪% হার সুদে কোনো আসল কত বছরে সুদে-আসলে ৪ গুণ হবে? ক. ৫০ খ. ৬০ গ. ৭৫ ঘ. ১০০ উত্তর: গ ব্যাখ্যা: n = ১০০(৪ - ১) / ৪ = ৩০০ / ৪ = ৭৫ বছর।


১৬২. ২০% হার চক্রবৃদ্ধি সুদে ২ বছরে ১০০০ টাকার চক্রবৃদ্ধি সুদ কত? ক. ৪০০ খ. ৪২০ গ. ৪৪০ ঘ. ৪৬০ উত্তর: গ ব্যাখ্যা: C = ১০০০ × (১.২)² = ১০০০ × ১.৪৪ = ১৪৪০ টাকা। সুদ = ১৪৪০ - ১০০০ = ৪৪০ টাকা।


১৬৩. ১০% হার চক্রবৃদ্ধি সুদে ৩ বছরে ১০০০ টাকার চক্রবৃদ্ধি সুদ কত? ক. ৩০০ খ. ৩১০ গ. ৩২১ ঘ. ৩৩১ উত্তর: ঘ ব্যাখ্যা: C = ১০০০ × (১.১)³ = ১০০০ × ১.৩৩১ = ১৩৩১ টাকা। সুদ = ১৩৩১ - ১০০০ = ৩৩১ টাকা।


১৬৪. ৫% হার সুদে কোনো আসল ৪ বছরে সুদে-আসলে ১২০০ টাকা হলে আসল কত? ক. ৮০০ খ. ৯০০ গ. ১০০০ ঘ. ১১০০ উত্তর: গ ব্যাখ্যা: P = (১০০ × সুদ-আসল) / (১০০ + nr) = (১০০ × ১২০০) / (১০০ + ৪×৫) = ১২০০০০ / ১২০ = ১০০০ টাকা।


১৬৫. ১০% হার সুদে কোনো আসল ৫ বছরে সুদে-আসলে ১৫০০ টাকা হলে আসল কত? ক. ৮০০ খ. ৯০০ গ. ১০০০ ঘ. ১২০০ উত্তর: গ ব্যাখ্যা: P = (১০০ × ১৫০০) / (১০০ + ৫০) = ১৫০০০০ / ১৫০ = ১০০০ টাকা।


১৬৬. কোনো আসলের ২ বছরের চক্রবৃদ্ধি সুদ ১০৫ টাকা এবং সরল সুদ ১০০ টাকা হলে সুদের হার কত? ক. ৫% খ. ৮% গ. ১০% ঘ. ১২% উত্তর: গ ব্যাখ্যা: ২ বছরের সরল সুদ ১০০ হলে ১ বছরের সরল সুদ ৫০। ২য় বছরে চক্রবৃদ্ধি সুদের ক্ষেত্রে এই ৫০ টাকার ওপর অতিরিক্ত ৫ টাকা (১০৫-১০০) সুদ হয়। হার = (৫/৫০) × ১০০ = ১০%।


১৬৭. ২ বছরের চক্রবৃদ্ধি সুদ ৪১০ টাকা এবং সরল সুদ ৪০০ টাকা হলে সুদের হার কত? ক. ৪% খ. ৫% গ. ৮% ঘ. ১০% উত্তর: খ ব্যাখ্যা: ১ বছরের সরল সুদ ২০০। অতিরিক্ত ১০ টাকা সুদ হয় ২০০ টাকার ওপর। হার = (১০/২০০) × ১০০ = ৫%।


১৬৮. বার্ষিক ২০% হার সুদে ষান্মাসিক (অর্ধ-বার্ষিক) চক্রবৃদ্ধিতে ১ বছরে ১০০০০ টাকার সুদ কত? ক. ২০০০ খ. ২১০০ গ. ২২০০ ঘ. ২৪০০ উত্তর: খ ব্যাখ্যা: ষান্মাসিক হলে হার অর্ধেক (১০%) এবং ১ বছরে পর্ব দুটি। C = ১০০০০ × (১.১)² = ১২১০০ টাকা। সুদ = ২১০০ টাকা।


১৬৯. ১০% হার সুদে ষান্মাসিক চক্রবৃদ্ধিতে ১ বছরে ৪০০০ টাকার সুদ কত? ক. ৪০০ খ. ৪১০ গ. ৪২০ ঘ. ৪৩০ উত্তর: খ ব্যাখ্যা: হার ৫%, পর্ব ২টি। C = ৪০০০ × (১.০৫)² = ৪০০০ × ১.১০২৫ = ৪৪১০ টাকা। সুদ = ৪১০ টাকা।


১৭০. কোনো আসলের ২ বছরের সরল সুদ আসলের ৮/২৫ অংশ হলে সুদের হার কত? ক. ১২% খ. ১৪% গ. ১৬% ঘ. ২০% উত্তর: গ ব্যাখ্যা: আসল ২৫ ধরলে ২ বছরের সুদ ৮। হার r = (১০০ × ৮) / (২৫ × ২) = ১৬%।


১৭১. কোনো আসলের ৩ বছরের সরল সুদ আসলের ৯/২৫ অংশ হলে সুদের হার কত? ক. ১০% খ. ১২% গ. ১৫% ঘ. ১৮% উত্তর: খ ব্যাখ্যা: আসল ২৫ টাকা হলে ৩ বছরের সুদ ৯ টাকা। r = (১০০ × ৯) / (২৫ × ৩) = ১২%।


১৭২. সরল সুদের হার ও সময় সমান হলে এবং সুদ আসলের ১/৯ অংশ হলে সুদের হার কত? ক. ২.৫% খ. ৩% গ. ৩.৩৩% ঘ. ৪% উত্তর: গ ব্যাখ্যা: r = n। সূত্র: I = Pnr/১০০। ১ = ৯ × r × r / ১০০ ⇒ r² = ১০০/৯ ⇒ r = ১০/৩ = ৩.৩৩%।


