Senior Officer (General) 2019 [MCQ]
1. Children must be ______ with love and care. a. brought up | b. brought about | c. brought for | d. brought as Ans. a. brought up ব্যাখ্যা: Bring up with something অর্থ কোনো কিছু দিয়ে লালন পালন করা। Up যোগে বাক্যটির বাংলা : ছেলেমেয়েরা অবশ্যই ভালোবাসা এবং আদর দিয়ে লালিত-পালিত হওয়া উচিত।
60. For seeing objects at the surface of water from a submarine under water, the instrument used is - a. periscope | b. telescope | c. kaleidoscope | d. spectroscope Ans. a. periscope ব্যাখ্যা: সাবমেরিন হতে শত্রু জাহাজ পর্যবেক্ষণ, সামরিক বাহিনীর বাঙ্কার হতে শত্রুসেনাদের অবস্থান পর্যবেক্ষণ, পাকস্থলীর অঙ্গসমূহের অবস্থান নির্ণয়ে পেরিস্কোপ ব্যবহার করা হয়। অন্যদিকে টেলিস্কোপ, স্পেকটোস্কোপ ও ক্যালিডোস্কোপ যথাক্রমে দূরের বস্তু পর্যবেক্ষণ, আলোক বর্ণালী বিশ্লেষণ ও ফ্যাশন ডিজাইনে ব্যবহৃত হয়।
61. G-15 is an economic grouping of a. 1st World Nations | b. 2nd World Nations | c. 3rd World Nations | d. 4th World Nations Ans. c. 3rd World Nations ব্যাখ্যা: বর্তমানে G-15 তৃতীয় বিশ্বের ১৭টি দেশসমূহের একটি অর্থনৈতিক গ্রুপ। ১৯৮৯ সালে প্রতিষ্ঠিত সংগঠনটির সদর দপ্তর জেনেভা, সুইজারল্যান্ড।
62. For galvanizing iron which of the following metal is used? a. Zinc | b. Aluminium | c. Lead | d. Copper Ans. a. Zinc ব্যাখ্যা: লোহাকে মরিচা থেকে রক্ষা করতে তড়িৎ বিশ্লেষণ প্রক্রিয়ার মাধ্যমে জিংক (Zn) ধাতুর প্রলেপ দেওয়া হয়। এ প্রলেপ দেওয়ার প্রক্রিয়াকে গ্যালভানাইজিং বলে।
63. Study of life in outer space is known as- a. neobiology | b. enterbiology | c. endbiology | d. exobiology Ans. d. exobiology ব্যাখ্যা: Exobiology (জ্যোতির্জীব বিজ্ঞান) বিজ্ঞানের এমন একটি ক্ষেত্র যেখানে সৌরজগৎ বা এর বাইরে জীবের উৎপত্তি, বিবর্তন ও ভবিষ্যৎ নিয়ে আলোচনা করা হয়।
64. The first man-made satellite, Sputnik I was launched by the former USSR in - a. 1957 | b. 1955 | c. 1970 | d. 1967 Ans. a. 1957 ব্যাখ্যা: পৃথিবীর প্রথম কৃত্রিম উপগ্রহ স্পুটনিক-১। ৪ অক্টোবর ১৯৫৭ সাবেক সোভিয়েত ইউনিয়ন সর্বপ্রথম এটি উৎক্ষেপণ করে।
65. The headquarter of the Organization of Petroleum Exporting Countries are at- a. Algiers | b. Vienna | c. Lagos | d. Kuwait Ans. b. Vienna ব্যাখ্যা: বিশ্বের তেল রপ্তানিকারক দেশগুলোর সংগঠন OPEC (Organization of the Petroleum Exporting Countries) ১৯৬০ সালের ১৪ সেপ্টেম্বর গঠিত হয়। এর সদর দপ্তর অস্ট্রিয়ার রাজধানী ভিয়েনায়। এর বর্তমান সদস্য দেশ ১২টি (সর্বশেষ- কঙ্গো প্রজাতন্ত্র)।
66. The longest rail line of the world, Trans-Siberian line, is in - a. China | b. USA | c. Russia | d. India Ans. c. Russia ব্যাখ্যা: ট্রান্স সাইবেরিয়ান রেলপথ রাশিয়ার পূর্ব প্রান্তের শহর ভ্লাদিভস্টক থেকে পশ্চিমের রাজধানী শহর মস্কোকে সংযুক্ত করেছে। এর দৈর্ঘ্য প্রায় ৫৭৭৬ মাইল (৯,২৯৫ কিমি)। বর্তমানে বিশ্বের দীর্ঘতম রেলপথ হলো চীনের ওয়াইযু থেকে স্পেনের মাদ্রিদ পর্যন্ত রেলপথ যার দৈর্ঘ্য প্রায় ৮০০০ মাইল (১৩,০০০ কি.মি.)।
67. The instrument used to measure electric current is - a. electrometer | b. galvanometer | c. spectrometer | d. ammeter Ans. d. ammeter ব্যাখ্যা: বিদ্যুৎ প্রবাহ পরিমাপের যন্ত্র অ্যামিটার। গ্যালভানোমিটার ক্ষুদ্রমাপের বিদ্যুৎ প্রবাহ নির্ণায়ক যন্ত্র। স্পেকট্রোমিটার আলোক বর্ণালী বিশ্লেষণ যন্ত্রের নাম।
68. Brent index is associated with- a. crude oil prices | b. gold future prices | c. shipping rate index | d. All of these Ans. a. crude oil prices ব্যাখ্যা: Brent index অপরিশোধিত তেলের মূল্যের সাথে সম্পর্কিত। এর অন্য নাম Brent Blend, London Brent এবং Brent Petroleum।
69. Graphical pictures that represent an object like file, folders etc. are: a. Task bar | b. Icons | c. Windows | d. Desktop Ans. b. Icons ব্যাখ্যা: File, Folder ইত্যাদির Graphical Picture হচ্ছে Icon। Task bar গ্রাফিক্যাল ইউজার ইন্টারফেসের একটি উপাদান। কোন Program চলছে তা Task bar এর মাধ্যমে দেখা যায়। Windows হলো একটি Operating system।
70. The memory sizes in mainframe computers and advanced technology microcomputer are expressed as a. Bytes | b. Kilobytes | c. Megabytes | d. All of these Ans. c. Megabytes ব্যাখ্যা: মেইনফ্রেম এবং এ্যাডভান্স টেকনোলজি মাইক্রো কম্পিউটারের মেমোরি সাইজ Megabytes-এর দ্বারা প্রকাশ করা হয়। 1 Byte = 8 Bits, 1 KB = 1024 Bytes, 1 MB = 1024 KB এবং 1 GB = 1024 MB।
71. Which network protocol is used to send Email? a. FTP | b. POP3 | c. None of these | d. SMTP Ans. d. SMTP ব্যাখ্যা: সাধারণত Email পাঠাতে SMTP (Simple Mail Transfer Protocol) এবং গ্রহণে POP3 (Post Office Protocol) ব্যবহৃত হয়। আর কম্পিউটার নেটওয়ার্কে ক্লায়েন্ট ও সার্ভারের মধ্যে ফাইল স্থানান্তরে FTP (File Transfer Protocol) ব্যবহৃত হয়।
72. The program compresses large files into a smaller file- a. WinShrink | b. WinZip | c. All of these | d. WinStyle Ans. b. WinZip ব্যাখ্যা: Win Zip একটি compression software এরকম আরো কিছু Software হচ্ছে WinRAR, 7-Zip, Hamster zip archiver, IZArc ইত্যাদি।
73. Which components appear in the initial windows start up display? a. Dialog box | b. Task bar | c. Start menu | d. All of these Ans. b. Task bar ব্যাখ্যা: Task bar গ্রাফিক্যাল ইউজার ইন্টারফেসের একটি উপাদান যার দ্বারা কোন প্রোগ্রাম চলছে তা দেখা যায়।
74. Which of the following is an example of utility? a. Word | b. Data recovery | c. Operating system | d. Antivirus Ans. d. Antivirus ব্যাখ্যা: Antivirus হচ্ছে ইউটিলিটি (Utility) প্রোগ্রাম। এরকম আরো কিছু Utility Program হচ্ছে Application launchers, Backup Software, File manager, File compression, Disk defragmenters ইত্যাদি।
75. How can you update the values of formula cells if Auto Calculate mode of Excel is disabled? a. F8 | b. F10 | c. F9 | d. F11 Ans. c. F9 ব্যাখ্যা: Excel-এ Auto calculate mode disable হলে F9-এর মাধ্যমে Formula cells value update করা যায়।
76. Which of the following Excel screen components can NOT be turned on or off? a. Formula Bar | b. Tool Bar | c. Status Bar | d. None of these Ans. d. None of these
77. Which enables us to send the same letter to different persons? a. mail merge | b. macros | c. template | d. None of these Ans. a. mail merge ব্যাখ্যা: একই তথ্য সম্বলিত কোনো ডকুমেন্ট বা চিঠি একাধিক ঠিকানায় পাঠাতে হলে ঠিকানাগুলি একসাথে লিখে mail merge ব্যবহার করা হয়।
78. Which of the following is not the Section Break Option? a. Odd Page | b. Next Page | c. Previous Page | d. Even Page Ans. c. Previous Page ব্যাখ্যা: 'Previous Page' section break option নয়।
79. What feature will you use to apply motion effects in between a slide exits and another enters? a. Animation Objects | b. Animation Sccheme | c. Slide Design | d. Slide Transition Ans. d. Slide Transition ব্যাখ্যা: Slide transition ব্যবহার করা হয় একটি Slide-এ প্রবেশ এবং আরেকটি slide হতে বের করার সময় motion effect প্রয়োগ করতে।
80. Which of the following font effect is not available in PowerPoint Font dialog box? a. Strikethrough | b. Underline | c. Shadow | d. Emboss Ans. a. Strikethrough ব্যাখ্যা: Power Point Font dialog box-এ strike through Font effect টি নেই।
